"Key","MainFile","MainLine","English","BaseRussianAvailable","BaseRussianFile","BaseRussianLine","BaseRussian","RelatedTranslationKey"
"absolute_controlperk_landless_pirate_name","localization/english/agot/event_localization/agot_pirate_events_l_english.yml","97","Captain in Command","False","","","",""
"agot_nw_ranger_events.1901.desc.intro_b","localization/english/agot/agot_nw_ranger_l_english.yml","1308","A deserter from the Night's Watch... there is no greater betrayal. [my_ranger.GetTitledFirstNamePossessive] information is fresh, and if we act swiftly, we can catch [main_figure.GetHerHim] before [main_figure.GetSheHe] disappears into the wilderness.","False","","","","agot_nw_ranger_events.1901.desc.intro_b_hash"
"building_type_swahili_port_pemba_desc","localization/replace/english/buildings_l_english.yml","2243","$building_swahili_port_pemba_desc$","True","localization/russian/buildings_l_russian.yml","1955","$building_swahili_port_pemba_desc$",""
"building_type_swahili_port_pembas","localization/replace/english/buildings_l_english.yml","2242","$building_swahili_port_pemba$","True","localization/russian/buildings_l_russian.yml","1954","$building_swahili_port_pemba$",""
"COURT_POSITION_TOOLTIP_EFFECT_ON_YOUR_LIEGE","localization/replace/english/court_positions_l_english.yml","114","Effect on your [liege|e]:","True","localization/russian/court_positions_l_russian.yml","97","Влияние на вашего [Concept( 'liege', 'сюзерена' )|E]:",""
"ended_engagement_opinion","localization/english/agot/00_agot_lmf_l_english.yml","290","Formerly Engaged","False","","","",""
"game_concept_contract_assisting","localization/replace/english/dlc/fp2/dlc_fp2_game_concepts_l_english.yml","90","Contract Assisting","True","localization/russian/dlc/fp2/dlc_fp2_game_concepts_l_russian.yml","62","Оказывает военную помощь",""
"gene_bs_eye_lower_lid_size","localization/english/agot/gui/epe_ruler_designer_l_english.yml","332","Lower Eyelid Size","False","","","",""
"high_mandala_tribute_prestige","localization/replace/english/gui/specialinteractions_l_english.yml","153","$tributary_contract_starts_with_common$ [GetSubjectContractType( 'mandala_government_prestige' ).GetObligationName( 'mandala_prestige_high' )]","True","localization/russian/gui/specialinteractions_l_russian.yml","130","[Concept('tributary_contract', 'Договор о дани')|E] изначально имеет пункт «[GetSubjectContractType( 'mandala_government_prestige' ).GetObligationName( 'mandala_prestige_high' )]»",""
"low_mandala_tribute_prestige","localization/replace/english/gui/specialinteractions_l_english.yml","151","$tributary_contract_starts_with_common$ [GetSubjectContractType( 'mandala_government_prestige' ).GetObligationName( 'mandala_prestige_low' )]","True","localization/russian/gui/specialinteractions_l_russian.yml","128","[Concept('tributary_contract', 'Договор о дани')|E] изначально имеет пункт «[GetSubjectContractType( 'mandala_government_prestige' ).GetObligationName( 'mandala_prestige_low' )]»",""
"nick_agot_historical_the_black_harren_desc","localization/english/agot/agot_nicknames_historical_l_english.yml","523","A vain, bloody tyrant hated by those [CharYouSheHe(CHARACTER)] ruled, [CHARACTER.GetShortUINameNoTooltipNoFormat] would oversee the completion of Harrenhal at great cost to the Riverlands and the Iron Islands.","False","","","",""
"normal_mandala_tribute_prestige","localization/replace/english/gui/specialinteractions_l_english.yml","152","$tributary_contract_starts_with_common$ [GetSubjectContractType( 'mandala_government_prestige' ).GetObligationName( 'mandala_prestige_normal' )]","True","localization/russian/gui/specialinteractions_l_russian.yml","129","[Concept('tributary_contract', 'Договор о дани')|E] изначально имеет пункт «[GetSubjectContractType( 'mandala_government_prestige' ).GetObligationName( 'mandala_prestige_normal' )]»",""
"reprimanded_me_unjustly__spouse_corresponding","localization/english/agot/00_agot_lmf_l_english.yml","4351","[CHARACTER.GetShortUIName|U] unjustly reprimanded [TARGET_CHARACTER.GetShortUIName] for an insult paid to [CHARACTER.GetHerHisMy] spouse.","False","","","",""
"vanilla_eye_lower_lid_size","localization/english/agot/gui/epe_ruler_designer_l_english.yml","333","Vanilla Lower Eyelid Size","False","","","",""
"warhorse.0004.courser","localization/replace/english/event_localization/lifestyle/warfare/warhorse_events_l_english.yml","69","Courser.","True","localization/russian/event_localization/lifestyle/warfare/warhorse_events_l_russian.yml","43","Рысак.",""
