Key,Status,Before,After,English,InCurrentEnglish,DefinedByPatch,PatchText,PreviousFile,CurrentFile
DRAGONPIT_RULER,changed,"Этот дракон находится в [Concept('dragonpit', 'драконьей яме')|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца.","Этот дракон находится в [dragonpit|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца.",This dragon is in a [dragonpit|E] limited to those who have been given explicit permission from it's holder.,True,True,"Этот дракон находится в [Concept('dragonpit', 'драконьей яме')|E]; доступ к нему имеют только те, кто получил явное разрешение от владельца.",localization/russian/more_dragon_eggs_realm_laws_l_russian.yml,localization/russian/more_dragon_eggs_realm_laws_l_russian.yml
DRAGONPIT_VIEW_DRAGONPIT_HOLDER,added,,[dragonpit|E] — владетель:,[dragonpit|E] Holder:,True,True,"Владелец [Concept('dragonpit', 'драконьего логова')|E]:",,localization/russian/more_dragon_eggs_ui_l_russian.yml
DRAGON_CANT_GO_OUTSIDE,removed,"Если переместить этого дракона наружу, вы потеряете право владения им!",,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
DRAGON_PITTED_SHORT_WITH_GUI,added,,[Character.Custom('DPGetDragonTypeGuiTooltip')],[Character.Custom('DPGetDragonTypeGuiTooltip')],True,True,[Character.Custom('DPGetDragonTypeGuiTooltip')],,localization/russian/more_dragon_eggs_events_l_russian.yml
MDE_MOVE_DRAGON_TT,added,,"#I Переместить этого дракона в драконью яму, из неё или между драконьими ямами#!","#I Move this dragon into, out of, or between a dragonpit#!",True,True,"#I Поместить этого дракона в логово, вывести его наружу или перевести в другое логово#!",,localization/russian/more_dragon_eggs_ui_l_russian.yml
MDE_RETURN_BUTTONS_TT,added,,#I Вернуть настройки кнопок по умолчанию#!,#I Return button settings to default#!,True,True,#I Вернуть стандартные настройки кнопок#!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
MDE_VERSION,added,,56,56,True,True,56,,localization/russian/more_dragon_eggs_ui_l_russian.yml
MDE_VERSION_BUILD,added,,Версия MDE: #color_yellow;bold $MDE_VERSION$#!,MDE Version: #color_yellow;bold $MDE_VERSION$#!,True,True,Версия MDE: #color_yellow;bold $MDE_VERSION$#!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
MDE_VERSION_BUILD_TT,added,,Версия CK3: #color_yellow;bold 1.19.0.6#! Версия AGOT: #color_yellow;bold 0.5.2.1#!,For CK3 Version: #color_yellow;bold 1.19.0.6#! AGOT Version: #color_yellow;bold 0.5.2.1#!,True,True,Для CK3 #color_yellow;bold 1.19.0.6#! и AGOT #color_yellow;bold 0.5.2.1#!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
RETRIEVE_EGG,added,,#I Забрать яйцо #!,#I Retrieve Egg #!,True,True,#I Забрать яйцо #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
RETRIEVE_EGGS,added,,#I Забрать все яйца #!,#I Retrieve All Eggs #!,True,True,#I Забрать все яйца #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
SELECTED_DRAGON_TT,removed,[selected_dragon_loc.GetName],,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
SEND_DRAGON,added,,#I Отправить дракона в яму #!,#I Send Dragon To Dragonpit #!,True,True,#I Отправить дракона в логово #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
SEND_DRAGONS,added,,#I Отправить всех драконов в яму #!,#I Send All Dragons To Dragonpit #!,True,True,#I Отправить всех драконов в логово #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
SEND_EGG,added,,#I Поместить яйцо в яму #!,#I Pit Egg #!,True,True,#I Поместить яйцо в логово #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
SEND_EGGS,added,,#I Поместить все яйца в яму #!,#I Pit All Eggs #!,True,True,#I Поместить все яйца в логово #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_ARTIFACT_MARKET,added,,#T Рынок артефактов#!\nПокупайте и продавайте артефакты через хранителя артефактов.,#T Artifact Market#!\nBuy and sell artifacts with the artifact keeper.,True,True,#T Рынок артефактов#!\nПокупать и продавать артефакты у хранителя артефактов.,,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_DRAGONBLOOD,added,,"#T Показать носителей крови дракона#!\nПоказывает всех живых персонажей с драконьей кровью, начиная с тех, у кого её больше всего.","#T Show Dragonblooded#!\nShows every living character with dragonblood heritage, highest dragonblood first.",True,True,"#T Носители драконьей крови#!\nПоказать всех живых персонажей с драконьей кровью, начиная с тех, у кого она сильнее всего.",,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_DRAGONPITS,changed,"#T Показать драконьи ямы\n#!Показывает действующие [Concept('dragonpits', 'драконьи ямы')|E] и связанные с ними меню.",#T Показать драконьи ямы\n#!Показывает действующие [dragonpits|E] и связанные с ними меню.,#T Show Dragonpits\n#!Shows active [dragonpits|E] and their corresponding menus.,True,True,"#T Показать драконьи ямы\n#!Показывает действующие [Concept('dragonpits', 'драконьи ямы')|E] и связанные с ними меню.",localization/russian/more_dragon_eggs_ui_l_russian.yml,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_DRAGONS,changed,"#T Показать драконов\n#!Показывает живых [Concept('dragons_plural', 'драконов')|E] и связанные с ними меню.",#T Показать драконов\n#!Показывает живых [dragons_plural|E] и связанные с ними меню.,#T Show Dragons\n#!Shows living [dragons_plural|E] and their corresponding menus.,True,True,"#T Показать драконов\n#!Показывает живых [Concept('dragons_plural', 'драконов')|E] и связанные с ними меню.",localization/russian/more_dragon_eggs_ui_l_russian.yml,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_EGGS,changed,"#T Показать драконьи яйца\n#!Показывает существующие [Concept('dragon', 'драконьи яйца')|E] и связанные с ними меню.",#T Показать драконьи яйца\n#!Показывает существующие яйца [dragon|E] и связанные с ними меню.,#T Show Dragons' Eggs\n#!Shows exising [dragon|E] eggs and their corresponding menus.,True,True,"#T Показать драконьи яйца\n#!Показывает существующие [Concept('dragon', 'драконьи яйца')|E] и связанные с ними меню.",localization/russian/more_dragon_eggs_ui_l_russian.yml,localization/russian/more_dragon_eggs_ui_l_russian.yml
SHOW_MENU_MENU,added,,"#T Меню MDE#!\nНастройки портрета дракона, игровых правил и кнопок.","#T MDE Menu#!\nSettings for Dragon Portraits, Game Rules, and Buttons.",True,True,"#T Меню MDE#!\nНастройки портретов драконов, правил игры и кнопок.",,localization/russian/more_dragon_eggs_ui_l_russian.yml
aemond_1_desc,added,,Крылатый Странник,Winged Stranger,True,True,Крылатый Странник,,localization/russian/mde_artifacts_l_russian.yml
aemond_2_desc,added,,Хегагон,Hegagon,True,True,Хегагон,,localization/russian/mde_artifacts_l_russian.yml
aemond_3_desc,added,,Квелос,Qelos,True,True,Квелос,,localization/russian/mde_artifacts_l_russian.yml
aenys_1_desc,added,,Золотой Огонь,Goldfyre,True,True,Золотой Огонь,,localization/russian/mde_artifacts_l_russian.yml
aenys_2_desc,added,,Делтарион,Deltharion,True,True,Делтарион,,localization/russian/mde_artifacts_l_russian.yml
aerea_1_desc,added,,Лейнгар,Laengar,True,True,Лейнгар,,localization/russian/mde_artifacts_l_russian.yml
aerea_2_desc,added,,Лунный Огонь,Moonfyre,True,True,Лунный Огонь,,localization/russian/mde_artifacts_l_russian.yml
aerea_3_desc,added,,Адереон,Adereon,True,True,Адереон,,localization/russian/mde_artifacts_l_russian.yml
agot_dragon_hatching.0403.desc,added,,"Драконы — своенравные создания, и обращаться с ними нужно вдумчиво и осторожно. Их сила и опасность превосходят всё, что известно миру, а об их беспокойной натуре нельзя забывать ни на миг. В древности для присмотра за этими чудесами создавались целые ордена.","Dragons are tenuous beasts, and must be handled thoughtfully and dilligently, for the power they possess and the danger they pose are greater than anything in the known world, especially lest one forget their restless nature. In times of old orders of men were built to maintain these wonders.",True,True,"Драконы — существа своенравные, и обращаться с ними нужно осмотрительно и терпеливо. Их могущество и опасность, которую они несут, превосходят всё в известном мире. Особенно важно помнить об их неукротимом нраве. В былые времена для заботы об этих чудесных созданиях учреждали целые ордены.",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.a,added,,Поместить их в загон для драконов.,Pen them in the Dragoncoop.,True,True,Поместить их в загон для драконов.,,localization/russian/more_dragon_eggs_events_l_russian.yml
