position_id,russian_name,positive_traits_direct,negative_traits_including_shared_health_penalties,conditional_general_bonus,health_helper,base_and_skills,conditions,eligibility,source
maester_court_position,Мейстер,lifestyle_physician:+10/+20/+40; lifestyle_mystic:+5/+10/+20; lifestyle_herbalist:+10; torturer:+20; inquisitive:+10,blind:-30; maimed:-15; infirm:-75,G,Н,"1 + min(2,5 × учёность; 50)","У врача и мистика выбирается одна ступень: наличие свойства / опыт ≥50 / опыт ≥100. Дополнительно +20, если каждый из пяти основных навыков ≥15; доблесть в эту проверку не входит. Есть бонусы медицинских построек лагеря/поместья и переменной bonus_aptitude_role = maester.",Придворный; не заключён. Нужны maester с опытом ≥100 ИЛИ disgraced_maester ИЛИ флаг former_acolyte. При дворе владельца h_the_iron_throne дополнительно требуется неактивное grandmaester. Должность связана с инновацией innovation_maesters; обычный базовый триггер допуска здесь не вызван.,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:34
household_guard_court_position,Капитан домашней гвардии,authoritative:+15; lifestyle_blademaster:+5/+10/+15; paranoid:+10,craven:-15; maimed:-25; blind:-50; infirm:-75,G,В,"1 + min(2,5 × военное дело; 50) + min(2 × доблесть; 50)",Мастерство клинка: наличие / опыт ≥50 / ≥100. Ещё +10 при подходящем безземельном пиратском работодателе с toe_the_line_perk.,"Придворный, допускаемый к военной службе по правилам пола; базовый допуск и отсутствие другой полной занятости. Доступность зависит также от DLC и формы правления.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:498
admiral_court_position,Адмирал,authoritative:+15,maimed:-25; blind:-50; infirm:-75,G,В,"1 + min(2,5 × военное дело; 50) + min(2 × управление; 50)","Во втором слагаемом реально используется управление, хотя desc подписан как доблесть.","Базовый допуск, военная служба по правилам пола, отсутствие другой полной занятости; в державе должно быть побережье. is_shown отдельно исключает имперский ранг и лично удерживаемое прибрежное графство через NOR — это условие текущего кода, а не предлагаемое изменение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:757
septon_court_position,Септон,generous:+20; compassionate:+20; devoted:+20 (при devoted_trait_bonuses у культуры кандидата),greedy:-10; profligate:-10; avaricious:-10; maimed:-15; infirm:-75,G,Н,"1 + min(2,5 × учёность; 50)","Статус is_clergy даёт ещё +20; это отдельная проверка статуса, а не автоматические очки за имя свойства septon.",Мужчина-придворный со свойством septon; базовый допуск. Эта придворная должность предназначена для правителя вне религии Семерых при наличии её последователя при дворе/среди гостей.,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:927
septa_court_position,Септа,compassionate:+20; diligent:+20; zealous:+20; patient:+10; inquisitive:+10; intellect_good_3:+40 ИЛИ intellect_good_2:+20 ИЛИ intellect_good_1:+10 ИЛИ shrewd:+10; devoted:+20 (при devoted_trait_bonuses у культуры кандидата),shy:-10; reclusive:-10; maimed:-15; infirm:-75,G,Н,"1 + min(2,5 × учёность; 50)",Интеллект и shrewd проверяются единой цепочкой else_if: четыре бонуса не складываются. is_clergy ещё +20. Каждый из пяти основных навыков ≥15 даёт ещё +20.,Женщина-придворная со свойством septon; базовый допуск. Работодатель исповедует Семерых либо его столица в world_westeros_seven_kingdoms; есть ограничения формы правления.,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:1198
gaoler_court_position,Тюремщик,torturer:+40; sadistic:+20; arbitrary:+20; callous:+20; shy:+20,maimed:-25; blind:-50; infirm:-75,G,В,"1 + min(2,5 × интриги; 50)",У callous подпись desc скопирована с arbitrary; сама проверка относится именно к callous.,"Придворный, не правитель и не супруг работодателя; базовый допуск и отсутствие другой полной занятости. Нужен подходящий замок castle_04/castle_05 и DLC.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:1528
harbormaster_court_position,Начальник порта,"administrator:+10; overseer:+20; greedy:+15; just:+5; lifestyle_mariner:+10 при опыте ≤50, иначе +20",arbitrary:-10; paranoid:-5; trusting:-10,—,,"5 + min(1,5 × управление; 30) + min(1,5 × учёность; 15)","При опыте морехода ровно 50 ещё +10; +20 начинается выше 50. Общие G, Н и В здесь не вызываются.","Придворный, не супруг; базовый допуск, отсутствие другой полной занятости. Нужны Королевская Гавань либо подходящий город с портом.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:1797
warden_of_the_north_court_position,Хранитель Севера,overseer:+25 (только H); just:+10 (только H),,G,,"При H: 5 + 60 + min(2,5 × военное дело; 50); иначе: 5 + min(1,5 × военное дело; 40)","H: liege — владелец h_the_iron_throne, основной титул кандидата — e_the_north. Без H не начисляются ни +60, ни прямые бонусы свойств. G остаётся в обеих ветках.","Должность владельца Железного трона. Кандидат — его вассал либо придворный; базовый допуск. Для хранителя Востока базовый допуск стоит в is_shown_character, а не valid_character.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:2077
warden_of_the_east_court_position,Хранитель Востока,overseer:+25 (только H); just:+10 (только H),,G,,"При H: 5 + 60 + min(2,5 × военное дело; 50); иначе: 5 + min(1,5 × военное дело; 40)","H: liege — владелец h_the_iron_throne, основной титул кандидата — e_the_vale. Без H не начисляются ни +60, ни прямые бонусы свойств. G остаётся в обеих ветках.","Должность владельца Железного трона. Кандидат — его вассал либо придворный; базовый допуск. Для хранителя Востока базовый допуск стоит в is_shown_character, а не valid_character.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:2299
warden_of_the_west_court_position,Хранитель Запада,overseer:+25 (только H); just:+10 (только H),,G,,"При H: 5 + 60 + min(2,5 × военное дело; 50); иначе: 5 + min(1,5 × военное дело; 40)","H: liege — владелец h_the_iron_throne, основной титул кандидата — e_the_westerlands. Без H не начисляются ни +60, ни прямые бонусы свойств. G остаётся в обеих ветках.","Должность владельца Железного трона. Кандидат — его вассал либо придворный; базовый допуск. Для хранителя Востока базовый допуск стоит в is_shown_character, а не valid_character.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:2521
