key,file,line,english,builtin,fallback
fab_ac_landing.0001,localization/english/ac/fab_ac_01_landing_l_english.yml,2,The Flight of the Dragons,[],[]
fab_ac_landing.0001.desc,localization/english/ac/fab_ac_01_landing_l_english.yml,3,"A hundred years ago, the world called my forefather Aenar a fool. Lord Aenar Targaryen, a lesser dragonlord of mighty Valyria, who sold his estates and moved his whole house - wives, children, dragons and all - to a bleak smoking rock at the western edge of the world, on no better counsel than the dreams of his daughter. Twelve years later, the Fourteen Flames tore Valyria apart in a single day and night, and the greatest civilization the world has known drowned in fire and salt water. Daenys the Dreamer had seen truly. Of all the dragonlords of the Freehold, only we endured. We are the last.\n\nFor a hundred years since - the century the world remembers as one long letting of blood - the daughters of Valyria have torn at each other over the corpse of their mother. I have had my taste of those wars: when Pentos and Tyrosh sought the aid of the young Lord of Dragonstone against the grasping Volantenes, I flew Balerion east, burned a war fleet to the waterline, and came home. The lords magister feasted me and begged me to stay. I would not. There is nothing in the east but old ashes quarreling over older ashes.\n\n#bold It is the west that has always called to me. It called to Aenar across a hundred years - and now, at last, I understand why.#!",[],[]
fab_ac_landing.0001.option1,localization/english/ac/fab_ac_01_landing_l_english.yml,4,The west calls.,[],[]
fab_ac_landing.0002,localization/english/ac/fab_ac_01_landing_l_english.yml,6,The Painted Table,[],[]
fab_ac_landing.0002.desc,localization/english/ac/fab_ac_01_landing_l_english.yml,7,"Years ago I commanded the carpenters of Dragonstone to carve me a table. They thought their lord mad by the time it was done - fifty feet long, five-and-twenty wide at its broadest, hewn from a single mighty block and painted, every inch, in the likeness of Westeros. Every river and bay, every mountain range and ruined ringfort, every castle and town and holdfast from Oldtown to the Wall, set down exactly - my painters worked from the charts of a hundred traders and the accounts of a thousand travelers.\n\nOne thing, and one thing only, I forbade them to paint: borders. Wander the table's length and you will find no line where the stormlands end and the Reach begins, no seam dividing the kingdoms the Andals carved out of one another. From the raised seat at Dragonstone's place - where I sit now, with the brazier crackling behind me and my sisters at either hand - a man sees the truth those lines were drawn to hide.\n\n#bold It was never seven kingdoms. It is one land. It wants only one king.#!",[],[]
fab_ac_landing.0002.option1,localization/english/ac/fab_ac_01_landing_l_english.yml,8,One land. One king.,[],[]
fab_ac_landing.0003,localization/english/ac/fab_ac_01_landing_l_english.yml,10,The Arrogant Stag,[],[]
fab_ac_landing.0003.desc,localization/english/ac/fab_ac_01_landing_l_english.yml,11,"Harren the Black's monstrous castle by the Gods Eye nears completion at last, and forty years of the riverlands' misery with it. A man who has spent a lifetime building the greatest fortress in the world does not intend to sit quietly in it; all Westeros whispers that Harren looks about for new conquests - and none whisper more anxiously than his neighbor the Storm King.\n\nSo Argilac Durrandon, grown old and, for the first time in his proud life, afraid, sent his offer across the water: an alliance against Harren, sealed with the hand of his daughter Argella - and a dowry of lands along the Blackwater to stand as a buffer between stag and kraken. Lands, be it noted, that Harren holds and Argilac does not; the old man offered me another king's ground. I declined the lady with courtesy - the blood of the dragon does not want for wives; I have two, my sisters, wed as Valyria always wed. In her place I offered the hand of Orys Baratheon, my dearest friend and, the whispers say, my brother - and asked lands within Argilac's actual gift as the dowry.\n\nHis answer arrived today, in a box. The hands of my envoy, salted like pork. And a message: #italic 'These are the only hands you shall receive.'#!\n\n#bold The Arrogant, they call him. He has earned the name today - and he will learn the price of it.#!",[],[]
fab_ac_landing.0003.option1,localization/english/ac/fab_ac_01_landing_l_english.yml,12,Argilac will lose more than hands for this.,[],[]
fab_ac_landing.0004,localization/english/ac/fab_ac_01_landing_l_english.yml,14,The Lord of Dragonstone,[],[]
