"Key","MainFile","MainLine","TranslationFile","TranslationLine","English","Russian","BuiltinRussian"
"AEGON_CROWN_LOTD","localization/english/lotd_clothing_l_english.yml","23","localization/russian/lotd_clothing_l_russian.yml","23","@lotd_icon! Aegon I's Crown","@lotd_icon! Корона Эйгона I",
"aegon_dagger_poses_list","localization/english/lotd_poses_l_english.yml","10","localization/russian/lotd_poses_l_russian.yml","10","Aegon's Dagger","Кинжал Эйгона",
"artifact_aegon_dagger","localization/english/artifacts/lotd_artifacts_l_english.yml","32","localization/russian/lotd_artifacts_l_russian.yml","32","Aegon's Dagger","Кинжал Эйгона",
"artifact_aegon_dagger_description","localization/english/artifacts/lotd_artifacts_l_english.yml","20","localization/russian/lotd_artifacts_l_russian.yml","20","Aegon's Dagger is a lesser known Valyrian steel blade owned by House Targaryen whose origins go back to Old Valyria. The hilt is decorated with gold and dragonbone.\n\nAegon instructed the last surviving Valyrian pyromancers to hide a prophecy into the blade.\n\n #COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:16 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#! \n\n ""From my blood will come the prince that was promised, and his will be the song of ice and fire""","Кинжал Эйгона — малоизвестный клинок из валирийской стали, принадлежавший Дому Таргариенов; его история уходит корнями в Старую Валирию. Эфес украшен золотом и драконьей костью.\n\nЭйгон повелел последним уцелевшим валирийским пиромантам сокрыть в клинке пророчество.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:16 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#!\n\n«Из моей крови явится принц, что был обещан, и его песней станет Песнь Льда и Пламени»",
"artifact_aegon_dagger_name","localization/english/artifacts/lotd_artifacts_l_english.yml","19","localization/russian/lotd_artifacts_l_russian.yml","19","Aegon's Dagger","Кинжал Эйгона",
"artifact_aegons_crown_desc","localization/english/artifacts/lotd_artifacts_l_english.yml","17","localization/russian/lotd_artifacts_l_russian.yml","17","Aegon I's Crown is a Valyrial Steel circlet with a number of square rubies decorating it. It is one of the few artifacts to survive the Doom of Valyria.","Корона Эйгона I — обруч из валирийской стали, украшенный квадратными рубинами. Это одна из немногих реликвий, переживших Рок Валирии.",
"artifact_aegons_crown_name","localization/english/artifacts/lotd_artifacts_l_english.yml","16","localization/russian/lotd_artifacts_l_russian.yml","16","Aegon I's Crown","Корона Эйгона I",
"artifact_blackfyre","localization/english/artifacts/lotd_artifacts_l_english.yml","27","localization/russian/lotd_artifacts_l_russian.yml","27","Blackfyre","Чёрное Пламя",
"artifact_blackfyre_description","localization/english/artifacts/lotd_artifacts_l_english.yml","3","localization/russian/lotd_artifacts_l_russian.yml","3","Blackfyre is the fabled hand-and-a-half longsword of Valyrian steel once wielded by Aegon the Conqueror. It is the most famous of the several Valyrian Steel artifacts owned by House Targaryen","Чёрное Пламя — легендарный полуторный меч из валирийской стали, которым некогда владел сам Эйгон Завоеватель. Это самая прославленная из валирийских реликвий Дома Таргариенов.",
"artifact_blackfyre_name","localization/english/artifacts/lotd_artifacts_l_english.yml","2","localization/russian/lotd_artifacts_l_russian.yml","2","Blackfyre","Чёрное Пламя",
"artifact_calamity","localization/english/artifacts/lotd_artifacts_l_english.yml","30","localization/russian/lotd_artifacts_l_russian.yml","30","Calamity","Бедствие",
"artifact_calamity_description","localization/english/artifacts/lotd_artifacts_l_english.yml","11","localization/russian/lotd_artifacts_l_russian.yml","11","Calamity is the brutal Valyrian steel axe that belongs to House Celtigar.","Бедствие — свирепый топор из валирийской стали, родовая реликвия Дома Селтигаров.",
"artifact_calamity_name","localization/english/artifacts/lotd_artifacts_l_english.yml","10","localization/russian/lotd_artifacts_l_russian.yml","10","Calamity","Бедствие",
"artifact_darksister","localization/english/artifacts/lotd_artifacts_l_english.yml","28","localization/russian/lotd_artifacts_l_russian.yml","28","Darksister","Тёмная Сестра",
"artifact_darksister_description","localization/english/artifacts/lotd_artifacts_l_english.yml","5","localization/russian/lotd_artifacts_l_russian.yml","5","Dark Sister is a famous longsword of Valyrian steel. It is one of two ancestral swords of House Targaryen, the other being Blackfyre.","Тёмная Сестра — прославленный длинный меч из валирийской стали и один из двух родовых клинков Дома Таргариенов. Другой — Чёрное Пламя.",
"artifact_darksister_name","localization/english/artifacts/lotd_artifacts_l_english.yml","4","localization/russian/lotd_artifacts_l_russian.yml","4","Darksister","Тёмная Сестра",
"artifact_orys_hammer","localization/english/artifacts/lotd_artifacts_l_english.yml","31","localization/russian/lotd_artifacts_l_russian.yml","31","Fury","Ярость",
"artifact_orys_hammer_description","localization/english/artifacts/lotd_artifacts_l_english.yml","23","localization/russian/lotd_artifacts_l_russian.yml","23","Fury is the war hammer that was given to [orys.GetFirstName] by [aegonTarg.GetTitledFirstName] when he was legitimized as the founder of House [orys.GetDynasty.GetBaseName].\n\nThe hammer represents the might and glory of House [orys.GetDynasty.GetBaseName] and gives legitimacy to the newly formed house.","Ярость — боевой молот, который [aegonTarg.GetTitledFirstName] даровал [orys.GetFirstName], когда узаконил его как основателя Дома [orys.GetDynasty.GetBaseName].\n\nМолот воплощает силу и славу Дома [orys.GetDynasty.GetBaseName] и придаёт новому роду законность.",
"artifact_orys_hammer_name","localization/english/artifacts/lotd_artifacts_l_english.yml","22","localization/russian/lotd_artifacts_l_russian.yml","22","Fury","Ярость",
"artifact_seafoam","localization/english/artifacts/lotd_artifacts_l_english.yml","29","localization/russian/lotd_artifacts_l_russian.yml","29","Seafoam","Морская Пена",
