catalog,file,line,key,text,header_valid,closed_quote,reasons
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,4,agot_bm_ac_desc,"Поколениями Драконий Камень взирал на угасание старого валирийского мира по ту сторону Узкого моря. Эйгон Таргариен обратил свой взор на Вестерос. изучив его побережья, реки и горы, он приказал изготовить великий расписной стол: не просто карту, а очертания королевства, ожидающей своего создания. \n \nСемь королевских домов делят континент. Харрен Хоар правит Речными землями из своей огромной новой крепости; Аргилак Дюррандон оберегает Штормовые земли; Старки владеют обширным Севером; Ланнистеры командуют золотом запада; Гарденеры царствуют над плодородным Простором; Аррены укрываются за Кровавыми Воротами; а Мартеллы выживают среди пустынь Дорна. Каждая корона считает себя в безопасности. Ни одна ещё не сталкивалась с тремя драконами, действующими с единой целью. \n \n#bold В Вестеросе семь королевств и семь корон. Эйгон намерен оставить единого короля.#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,7,bookmark_02_aegon_targaryen_desc,"С Драконьего Камня Эйгон готовит высадку на Черноводной и войны, которые должны последовать. Его притязание дерзко: каждая корона Вестероса должна пасть перед драконом. Визенья, Рейнис и их ездовые драконы придают этим притязаниям силу пророчества. \n \n#bold Объединит ли Эйгон континент под домом Таргариенов, или его завоевание погибнет на чуждом берегу?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,12,bookmark_02_harren_hoare_desc,"Сорок лет трудов вознесли Харренхолл над Оком Бога, больше любого замка Вестероса и оплаченные кровью речных земель. Харрен Хоар уповает на свои стены, своих железнорождённых и ужас, связанный с его именем. Прибытие Эйгона проверит все три. \n \n#bold Сможет ли Чёрный король сломить завоевателя, или он построил костёр для собственного дома?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,15,bookmark_02_argilac_durrandon_desc,"Аргилак Дюррандон искал союза, предложив Эйгону земли, принадлежавшие Харрену Хоару. Ответом Эйгона было требование большего — и брак между Аргеллой и бастардом Орисом Баратеоном. Король Штормов считает это предложение оскорблением, на которое можно ответить только сталью. \n \n#bold Сможет ли Аргилак сохранить древнюю корону Дюррандонов и смирить драконовладыку, оскорбившего его дом?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,19,bookmark_02_ronnel_arryn_desc,"Корона Гор и Долины покоится на голове ребёнка. Королева-регент Шарра правит за своего сына Роннела, защищённая Кровавыми Воротами, Орлиным Гнездом и горами, которые не покорила ни одна армия. Однако драконам горные дороги почти не нужны. \n \n#bold Сможет ли Шарра сохранить наследие Роннела, когда враг может просто перелететь через все укрепления?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,23,bookmark_02_torrhen_stark_desc,"Торрен Старк правит королевством старше и обширнее любого на юге. Расстояние, зима и Шея всегда охраняли Север, но ничто из этого не может противостоять драконьему огню. Когда требование Эйгона наконец достигнет Винтерфелла, Торрен должен решить, какой ценой он готов заплатить за независимость Севера. \n \n#bold Будет ли Король Севера сражаться за свою корону, или спасёт свой народ от войны, которую они не переживут?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,26,bookmark_02_loren_lannister_desc,"В Кастерли Роке достаточно золота, чтобы нанять армии, снабдить замки и связать союзников, но никакое количество монет не может купить другого дракона. Лорен Ланнистер должен решить, лучше ли защищать богатства запада в одиночку или вместе с зелёными войсками Хайгардена. \n \n#bold Сможет ли Король Скалы обратить мощь запада против невозможного оружия Эйгона?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,29,bookmark_02_mern_gardener_desc,"Мерн Садовник командует самым плодородным королевством Вестероса и величайшим войском, которое может собрать один король. Зелёная рука существует с начала времён королей, и Мерн не намерен стать последним именем в этой древней линии. \n \n#bold Сможет ли мощь Простора сокрушить меньшее войско Эйгона, прежде чем драконий огонь решит исход битвы?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_ac_bookmark_l_russian.yml,32,bookmark_02_meria_martell_desc,"Возраст не смягчил принцессу Мерию, и пустыня не сделала Дорн лёгкой добычей. У неё меньше солдат, чем у северных королей, но она знает каждый пустой замок, скрытый колодец и выжженная дорогу, которая ждёт захватчика. Эйгон может завоевать замки; удержать Дорн будет делом иным. \n \n#bold Сможет ли Мерия лишить драконов каждой победы и сохранить Дорн не склонившимся, не согнувшимся, не сломленным?#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml,4,agot_bm_ac_desc,"Поколениями Драконий Камень взирал на угасание старого валирийского мира по ту сторону Узкого моря. Эйгон Таргариен обратил свой взор на Вестерос. Изучив его побережья, реки и горы вместе с Визеньей и Рейнис, он приказал изготовить великий расписной стол: не просто карту, а очертания королевства, ожидающей своего создания. \n \nСемь королевских домов делят континент. Харрен Хоар правит Речными землями из своей огромной новой крепости; Аргилак Дюррандон оберегает Штормовые земли; Старки владеют обширным Севером; Ланнистеры командуют золотом запада; Гарденеры царствуют над плодородным Простором; Аррены укрываются за Кровавыми Воротами; а Мартеллы выживают среди пустынь Дорна. Каждая корона считает себя в безопасности. Ни одна из корон ещё не сталкивалась с тремя драконами, действующими с единой целью. \n \n#bold В Вестеросе семь королевств и семь корон. Эйгон намерен оставить единого короля.#",True,True,"[""unclosed_format""]"
RU,localization/replace/russian/ac/bookmark/fab_conquest_bookmark_l_russian.yml,7,bookmark_02_aegon_targaryen_desc,"С Драконьего Камня Эйгон готовит высадку на Черноводной и войны, которые должны последовать. Его притязание дерзко: каждая корона Вестероса должна пасть перед драконом. Визенья, Рейнис и их ездовые драконы придают этим притязаниям силу пророчества. \n \n#bold Объединит ли Эйгон континент под домом Таргариенов, или его завоевание погибнет на чуждом берегу?#",True,True,"[""unclosed_format""]"
