"Catalog","File","Line","Key","Problem","Text"
"AGOT Bookmarked","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","94","bookmark_298_joffrey_baratheon_desc","Internal unescaped quote (review only)","Following Robert's death, Joffrey summoned the council and commanded they make arrangements for his coronation as Lord of the Seven Kingdoms. When Ned produced Robert's will, which declared Ned regent and mentions ""the heir"" rather than specifying Joffrey, Queen Mother Cersei tore it up and advised Ned to swear fealty to her son. Ned in turn revealed that Joffrey has no claim to the throne and that his uncle, Lord Stannis Baratheon, is the true heir. After arresting Eddard and later forcing him to confess his crimes and declare Joffrey the true heir to the Iron Throne, Joffrey's mercy turned out to be Eddard's public beheading by Ser Ilyn Payne right before his daughter Sansa's eyes at the Great Sept of Baelor. Will Joffrey go unpunished or perish at the hands of those more worthy?"
"AGOT Bookmarked","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","129","bookmark_299_joffrey_baratheon_desc","Internal unescaped quote (review only)","Following Robert's death, Joffrey summoned the council and commanded they make arrangements for his coronation as Lord of the Seven Kingdoms. When Ned produced Robert's will, which declared Ned regent and mentions ""the heir"" rather than specifying Joffrey, Queen Mother Cersei tore it up and advised Ned to swear fealty to her son. Ned in turn revealed that Joffrey has no claim to the throne and that his uncle, Lord Stannis Baratheon, is the true heir. After arresting Eddard and later forcing him to confess his crimes and declare Joffrey the true heir to the Iron Throne, Joffrey's mercy turned out to be Eddard's public beheading by Ser Ilyn Payne right before his daughter Sansa's eyes at the Great Sept of Baelor. Will Joffrey go unpunished or perish at the hands of those more worthy?"
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","83","bookmark_195_harys_bracken_desc","Internal unescaped quote (review only)","Лорд Харис Бракен, чей племянник Эйгор ""Жгучий Клинок"" втянул его в войну за престол, может на века возвысить свой дом — если, конечно, не встретит преждевременный конец. Добьётся ли он успеха или падет жертвой междоусобицы?"
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","93","","Malformed or continuation line"," bookmark_298_joffrey_baratheon_desc:0 ""После смерти Роберта Джоффри созвал совет и приказал подготовить свою коронацию как Владыки Семи Королевств. Когда Эддард предъявил завещание Роберта, в котором тот назначил его регентом и упомянул «наследника», не называя имени Джоффри, королева-мать Серсея разорвала документ и велела Старку принести присягу её сыну. В ответ Эддард заявил, что Джоффри не имеет прав на трон, а его дядя, лорд Станнис Баратеон, является истинным наследником."
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","94","","Malformed or continuation line","После ареста Эддарда и вынужденного признания им своей «измены», а также провозглашения Джоффри законным наследником Железного Трона, «милость» Джоффри обернулась публичной казнью Эддарда Старка Сиром Илином Пейном на ступенях Великой Септы Бейлора — прямо на глазах у его дочери Сансы Старк. Останется ли Джоффри безнаказанным или падёт от рук более достойных?"" "
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","129","","Malformed or continuation line"," bookmark_299_joffrey_baratheon_desc:0 ""После смерти Роберта Джоффри созвал совет и приказал подготовить свою коронацию как Владыки Семи Королевств. Когда Эддард предъявил завещание Роберта, в котором тот назначил его регентом и упомянул «наследника», не называя имени Джоффри, королева-мать Серсея разорвала документ и велела Старку принести присягу её сыну. В ответ Эддард заявил, что Джоффри не имеет прав на трон, а его дядя, лорд Станнис Баратеон, является истинным наследником."
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","130","","Malformed or continuation line","После ареста Эддарда и вынужденного признания им своей «измены», а также провозглашения Джоффри законным наследником Железного Трона, «милость» Джоффри обернулась публичной казнью Эддарда Старка Сиром Илином Пейном на ступенях Великой Септы Бейлора — прямо на глазах у его дочери Сансы Старк. Останется ли Джоффри безнаказанным или падёт от рук более достойных?"" "
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","173","bookmark_10_aegon_targaryen_desc","Unbalanced formatting tags","Эйгон «Дракон» правит своим недавно завоеванным королевством уже почти десять лет, и только Дорн оспаривает его господство на континенте к югу от Стены. Но война с дорнийскими повстанцами не за горами, ведь любимая сестра-жена и королева Эйгона Рейнис погибла на своём драконе Мераксес, пытаясь подчинить себе непокоренных. Оставшаяся сестра-жена короля Висенья скорбит вместе с ним, придумывая, как обезопасить дом Дракона от потенциальных убийц, таящихся за каждой дверью.\n\n#bold Пока Висенья думает о личной безопасности, Эйгон размышляет о том, как лучше защитить свою новую столицу от нападения: жалкие оборонительные сооружения Эйгонфорта кажутся совершенно недостаточными для столицы королевства, раскинувшегося на весь континент."
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","175","bookmark_129_aegon_targaryen_desc","Unbalanced formatting tags","Эйгон Таргариен, второй сего имени, занял Железный трон после смерти своего отца Визериса I. Хотя его единокровная сестра Рейнира была избранной наследницей их отца и принцессой Драконьего Камня, Эйгон все равно завладел Королевской Гаванью и королевством.\n\n#bold И хотя в результате этой узурпации вскоре может начаться война, Эйгон носит меч, корону и имя Завоевателя и ожидает, что королевство быстро подчинится ему. Если Рейнира не склонит колена, она познает Пламя и кровь!"
"Translation","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","177","bookmark_153_aegon_targaryen_desc","Unbalanced formatting tags","Вот уже двадцать два года Эйгон «Неудачливый» правит на Железном троне. У него нет недостатка в наследниках: два сына - Дейрон и Бейлор - воспитываются при дворе, а также его племянники, сыновья его брата Визериса. Несмотря на уверенность в престолонаследии, безопасность его дома находится под постоянным вопросом.\n\n#bold Со смертью драконов источник власти Таргариенов ослабевает; теперь, чтобы дом Дракона остался на вершине власти, необходимо заключать браки и сделки."
