"Catalog","Key","File","Line","Problem","Text"
"AGOT+","dynn_Essos","localization/replace/asoiaf_valyrian_dynasty_names_l_english.yml","2","Internal unescaped double quote","""Targaryen"""
"AGOT+","house_Essos","localization/replace/asoiaf_valyrian_dynasty_names_l_english.yml","3","Internal unescaped double quote","""Targaryen"""
"AGOT+","","localization/replace/asoiaf_terrains_l_english.yml","8","Unparsed non-comment line"," the_bog_min_combat_roll:1 """
"AGOT+","lp_feudal_government_desc","localization/replace/asoiaf_government_l_english.yml","4","Unbalanced format delimiters; Internal unescaped double quote","$game_concept_feudal_desc$\n\n#F Feudalism is a rigid social structure and form of government consisting of kings, lords, and peasants. Nobles rule over the smallfolk within their territory through a system of fealty and sworn oaths. In this system, each man owes military service to his lord in return for protection, a grant of land, and the peasants to work it.\n\nWestern feudalism in particular is native to Westeros, unique in the fact that vassals are called ""lords"" regardless of their place on the hierarchy, the most powerful of which are sometimes called ""Lords Paramount"", or even afforded princely titles like in Dorne."
"AGOT+","death_aegonvi_murder_known","localization/replace/asoiaf_death_reasons_l_english.yml","2","Internal unescaped double quote","was ""murdered"""
"AGOT+","death_aegonvi_murder_known_killer","localization/replace/asoiaf_death_reasons_l_english.yml","3","Internal unescaped double quote","was ""murdered"" by [TARGET_CHARACTER.GetUIName]"
"AGOT+","asoiaf_Targaryen_61_1_modifier","localization/english/modifiers/asoiaf_modifiers_l_english.yml","158","Unbalanced format delimiters","[asoiaf_canon_children_concept|E]: #bold Aerion Targaryen"
"AGOT+","asoiaf_Targaryen_72_modifier_desc","localization/english/modifiers/asoiaf_modifiers_l_english.yml","165","Internal unescaped double quote","#bold Jaehaerys Targaryen#! was a playful and studious boy who enjoyed rigid routines and generally misliked when things did not go as expected. He was born physically deformed, with six fingers on his left hand and six toes on each foot.\n\n@warning_icon! #X Jaehaerys' disfigurement is represented with ""The Mark"" trait until a better alternative is added.#!"
"AGOT+","asoiaf_Tully_5_modifier","localization/english/modifiers/asoiaf_modifiers_l_english.yml","656","Suspicious #Lady format tag","[asoiaf_canon_children_concept|E]: #Lady Stoneheart#!"
"AGOT+","asoiaf_maintenance_events_0008_desc","localization/english/event_localization/asoiaf_maintenance_l_english.yml","40","Internal unescaped double quote","Word spreads through the realm like wildfire about the tragedy in [asoiaf_rhaenyra.GetCapitalLocation.GetCounty.GetTitle.GetNameNoTierNoTooltip]. Shortly after her ascent to the Iron Throne, Queen [asoiaf_rhaenyra.GetFirstName] shocked the realm by imprisoning and summarily executing her brothers.\n\nAlready the word ""tyranny"" isn't far from many people's lips, yet it cannot be denied that all whispers of usurpation have come to an abrupt end. Doubtless many would-be kingmakers across the realm now curse their fortunes, finding themselves lacking a rightful king to crown.\n\nThis blood-soaked gambit may have secured [asoiaf_rhaenyra.GetFirstNameNoTooltip] her throne, but will she be able to keep it?"
