"Catalog","File","Line","Key","Problem","Text"
"EN","localization/english/valyrian_decisions_l_english.yml","39","fund_expedition_0002_desc","Inner double quote: review","[choice.GetFirstName] meets me at the docks, [choice.GetSheHe] has collected a decent crew and enough men to carry out the voyage to Old Valyria. [choice.GetSheHe|U] bows before me and speaks.\n\n""[ROOT.Char.GetTitledFirstName], I will not fail you. I will return to you with the treasures that were lost long ago in the Doom. You have my word""\n\nWith that [choice.GetSheHe] departs, taking [choice.GetHerHis] ship and [choice.GetHerHis] men westward into the Smoking Sea"
"EN","localization/english/valyrian_decisions_l_english.yml","54","fund_expedition_0006_alt_desc","Inner double quote: review","[choice.GetFirstName] slowly opens the box and pulls out the artifact. [choice.GetSheHe|U] hands me a [newly_created_artifact.GetName]!\n\n""Valyrian Steel my [ROOT.Char.GetLadyLord]. May it serve you well."" [choice.GetSheHe|U] says."
"EN","localization/english/valyrian_decisions_l_english.yml","61","fund_expedition_0008_alt_desc","Inner double quote: review","[choice.GetFirstName] slowly opens the box and pulls out the artifact. [choice.GetSheHe|U] hands me an unhatched [newly_created_artifact.GetName]!\n\nWhile it likely will never hatch, this egg is a reminder of what gave the Valyrians their power and gives hope that the might of Dragons may one day return.\n\n""A dragon egg my [ROOT.Char.GetLadyLord]. May it bring you good fortune."" [choice.GetSheHe|U] says."
"EN","localization/english/valyrian_decisions_l_english.yml","66","fund_expedition_0009_alt_desc","Inner double quote: review","[choice.GetFirstName] slowly opens the box and pulls out the artifact. [choice.GetSheHe|U] hands me a [newly_created_artifact.GetName]!\n\nGlass candles are rumored to allow sorcerers can see across mountains, seas and deserts. It is said that the flame of the candle can give men visions and dreams and allow them communicate with one another half a world apart.\n\n[choice.GetSheHe|U] also hands me a purse of gold. ""Gold to cover some of the expenses of the journey, my [ROOT.Char.GetLadyLord]"" [choice.GetSheHe|U] says."
"EN","localization/english/valyrian_decisions_l_english.yml","76","fund_expedition_0007_desc","Inner double quote: review","I hear word that [choice.GetFirstNamePossessive] ship has been sighted. In time the ship makes its way to dock...\n\nAs I arrive to congratulate [choice.GetFirstName] for [choice.GetHerHis] safe return I immediately notice something is wrong. [choice.GetFirstName] is visibly sick. [choice.GetSheHe|U] approaches me and begins to speak. \n\n""[ROOT.Char.GetTitledFirstName]...I...never..."" before [choice.GetSheHe] could finish [choice.GetSheHe] collapses in front of me. My men drag [choice.GetHerHim] to the healers for further examination...\n\nI also notice that several of [choice.GetFirstNamePossessive] crew are also suffering from the same illness..."
"EN","localization/english/valyrian_decisions_l_english.yml","90","fund_expedition_0010_desc","Inner double quote: review","I hear word that [choice.GetFirstNamePossessive] ship has been sighted. In time the ship makes its way to dock...\n\nAs I arrive to congratulate [choice.GetFirstName] for [choice.GetHerHis] safe return. I spot [choice.GetHerHim] walk off the ship with a wide grin on [choice.GetHerHis] face.\n\n""[ROOT.Char.GetTitledFirstName]! As promised I have returned! My crew sailed the smoking sea, explored the lost cities of Valyria, and witnessed the many horrors that plague that land. During the journey we found many artifacts, the greatest of which I have saved just for you my [ROOT.Char.GetLadyLord|U].""\n\nHe walks back onto his ship leading me toward a box. "
"EN","localization/english/valyrian_decisions_l_english.yml","96","fund_expedition_0012_desc","Missing closing quote; declared key retained","fund_expedition_0012_desc:0 ""One of the crew members approaches me afterward and brings me to a box that [choice.GetFirstName] had set aside for me. I open the box to discover a [newly_created_artifact.GetName]! As you take the whip, you feel a surge of connection to the ancient dragonlords, a sense of awe at holding such a potent piece of history."
"EN","localization/english/valyrian_decisions_l_english.yml","102","fund_expedition_0012_alt_desc","Inner double quote: review","[choice.GetFirstName] slowly opens the box and pulls out the artifact. [choice.GetSheHe|U] hands me a [newly_created_artifact.GetName]!\n\n""A Dragon whip once wielded by an ancient Dragon Lord. May it serve you well."" [choice.GetSheHe|U] says.\n\nAs you take the whip, you feel a surge of connection to the ancient dragonlords, a sense of awe at holding such a potent piece of history."
"EN","localization/english/valyrian_decisions_l_english.yml","134","fund_expedition_0011_valyrian_desc","Inner double quote: review","[choice.GetFirstName] slowly opens the box and pulls out the artifact. [choice.GetSheHe|U] hands me a [newly_created_artifact.GetName]!\n\nDragon horns are ancient devices used by the Dragon Lords of Old Valyria.\n\nWith some strange sorcery such an item could help to tame a Dragon...or so the legends say.\n\nAncient glpyhs decorate the horn.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n\n""All Dragons Must Serve"" "
"EN","localization/english/valyrian_decisions_l_english.yml","138","fund_expedition_0011_valyrian_alt_desc","Inner double quote: review","One of the crew members approaches me afterward and brings me to a box that [choice.GetFirstName] had set aside for me. I open the box to discover a [newly_created_artifact.GetName]!\n\nDragon horns are ancient devices used by the Dragon Lords of Old Valyria.\n\nWith some strange sorcery such an item could help to tame a Dragon...or so the legends say.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n\n""All Dragons Must Serve"""
"EN","localization/english/valyrian_decisions_l_english.yml","201","hire_master_smith.0001_desc","Inner double quote: review","[smith.GetFirstName] is brought before me. With [smith.GetHerHim] is an assortment of various weapons and trinkets [smith.GetSheHe] has forged over the years...\n\nThe craftmanship leaves little doubt in my mind that [smith.GetFirstName] is what I need.\n\nI ask [smith.GetHerHim] if he is familiar with working Valyrian Steel.\n\n""Yes my [ROOT.Char.GetLadyLord], I can work it into anything you desire...If you have the material of course."" "
