"Key","File","Line","VisibleText"
"aegonsonofjaehaerys_crown_description","localization/russian/ntc_artifacts_l_russian.yml","157","Простая золотая корона в форме драконьих крыльев, созданная для Эйгона Таргариена, нерождённого сына короля Джейхейриса I, на случай, если бы он не родился мёртвым, выжил и стал королём."
"aegonsonofjaehaerys_crown_name","localization/russian/ntc_artifacts_l_russian.yml","156","Корона Эйгона Таргариена, сына Джейхейриса I"
"aegontheuncrowned_crown_description","localization/russian/ntc_artifacts_l_russian.yml","134","Корона, сделанная для Эйгона Некоронованного, сына короля Эйниса I Таргариена, на случай, если бы он стал королём. Это золотой обруч с цветами из красно-золотой стали, инкрустированными красными рубинами."
"aegonvi_crown_description","localization/russian/ntc_artifacts_l_russian.yml","128","Корона, сделанная для Эйгона VI Таргариена, сына Рейгара и Элии Мартелл, на случай, если бы он стал королём. Она изготовлена из чёрного железа и украшена двумя драконами, сходящимися к центру короны, где помещён красный рубин."
"aegonvi_crown_name","localization/russian/ntc_artifacts_l_russian.yml","127","Корона Эйгона VI Таргариена"
"aemon_blackfyre_crown_description","localization/russian/ntc_artifacts_l_russian.yml","90","Эта грозная корона представляет собой тёмно-красный и чёрный обруч, окружённый пылающими драконьими знаками Блэкфайров. Над ним поднимается круг вертикальных мечей, каждый из которых сделан по образу Блэкфайра. Корона принадлежала Эймону Блэкфайру, второму старшему сыну мятежника Деймона I Блэкфайра и близнецу Эйгона Блэкфайра."
"aemon_blackfyre_crown_name","localization/russian/ntc_artifacts_l_russian.yml","89","Корона Эймона Блэкфайра, сына Деймона I Блэкфайра"
"aemond_crown_description","localization/russian/ntc_artifacts_l_russian.yml","154","Корона, созданная для Эймонда Таргариена, сына короля Визериса I Таргариена и Алисенты Хайтауэр, на случай, если бы он стал королём. Это суровая корона из чёрного железа, украшенная множеством сапфиров и меньшим числом крупных красных и зелёных самоцветов в форме драконьей чешуи, оправленных в чёрное железо."
"aemonsonofjaehaerys_crown_description","localization/russian/ntc_artifacts_l_russian.yml","146","Корона, сделанная для Эймона Таргариена, сына короля Джейхейриса I Таргариена, на случай, если бы он стал королём. Это серебряно-железный обруч с разноцветными самоцветами и символами великих домов Вестероса."
"aemonsonofjaehaerys_crown_name","localization/russian/ntc_artifacts_l_russian.yml","145","Корона Эймона Таргариена, сына Джейхейриса I"
"aenysblackfyre_crown_description","localization/russian/ntc_artifacts_l_russian.yml","40","Реплика короны, которую носил неудачливый узурпатор Эйнис Блэкфайр: обруч из красного золота и золота, отмеченный языками пламени, золотыми драконьими символами и золотыми черепами в честь Жгучего Клинка и его Золотых Мечей.    История — Эта корона была найдена среди владений Эйниса Блэкфайра после того, как Кровавый Ворон убил его. Вероятно, Эйнис заказал её для себя на случай победы на Великом совете. После обнаружения король Эйгон V тайно передал корону Золотым Мечам как малое извинение за убийство Эйниса Блэкфайра. Позднее её носил сын Эйниса, Деймон Блэкфайр, пока его не убил кузен Мейлис; после этого корону переплавили, чтобы выковать собственную корону Мейлиса."
"aenysblackfyre_crown_name","localization/russian/ntc_artifacts_l_russian.yml","39","Корона Эйниса I Блэкфайра"
"alicenthightower_crown_description","localization/russian/ntc_artifacts_l_russian.yml","98","Корона королевы Алисенты Хайтауэр, жены короля Визериса I: круглый золотой венец с цветочной резьбой, украшенный рубинами и изумрудами.    История — После смерти королевы Хелейны и Штурма Драконьего Логова корона более десяти лет считалась «пропавшей»: она застряла в труднодоступном месте между шипами под Твердыней Мейгора. Окончательно её извлекли лишь во время правления короля Визериса II."
"alyssavelaryon_crown_description","localization/russian/ntc_artifacts_l_russian.yml","95","Корона королевы Алиссы Веларион, жены короля Эйниса I: изящный золотой и серебряный обруч, инкрустированный жемчугом и украшенный синими и зелёными самоцветами, окружёнными меньшими жемчужинами и золотом.    История — Заказанная и носившаяся королевой Алиссой во время правления Эйниса I, эта корона со временем получила прозвище «Корона фаворитки»: при Эйгоне IV король подарил её своей любовнице Барбе Бракен, затем забрал обратно и передал Мелиссе Блэквуд.    Когда время Мелиссы при дворе Эйгона закончилось, корону подарили Бетани Бракен; после казни Бетани, пойманной в постели с сиром Терренсом Тойном, её снова передали Мелиссе Блэквуд и её дому. В конце концов корона вернулась к дому Таргариенов после брака Беты Блэквуд и короля Эйгона V."
"baelon_crown_description","localization/russian/ntc_artifacts_l_russian.yml","142","Корона, сделанная для Бейлона Таргариена, сына короля Джейхейриса I Таргариена, на случай, если бы он стал королём. Это серебряно-чёрный остроконечный венец, инкрустированный красными рубинами."
"baelon_crown_name","localization/russian/ntc_artifacts_l_russian.yml","141","Корона Бейлона Таргариена, сына Джейхейриса I"
"baelorbreakspear_crown_description","localization/russian/ntc_artifacts_l_russian.yml","160","Корона, созданная для Бейлора Таргариена, сына короля Дейрона II Таргариена, на случай, если бы он стал королём. Это круглая змеевидная корона из красного золота, в центре которой сходятся три драконьи головы и головы кобр."
"bethablackwood_circlet_description","localization/russian/ntc_artifacts_l_russian.yml","62","Диадема королевы Беты Блэквуд, жены короля Эйгона V, также известного как Эйгон Невероятный. Задуманная как отзвук корон Эйгона Завоевателя и его жён, она представляет собой венец из тёмного железа, сходящийся вниз острым треугольником с тремя красными рубинами в центре.    История — Выкованная для королевы Беты Блэквуд во время правления её мужа, короля Эйгона V, эта корона едва не погибла во время трагедии в Саммерхолле. Чудом пережив пожар, уничтоживший великий дворец, она была найдена позднее и затем перешла к собственной дочери Беты, королеве Шейре."
"brightflame_crown_description","localization/russian/ntc_artifacts_l_russian.yml","199","Корона, созданная для Эйриона Таргариена по прозвищу Яркое Пламя, сына короля Мейкара I Таргариена, на случай, если бы он стал королём. Золото-бронзовый обруч инкрустирован изумрудами, а над ним поднимаются золотые и изумрудные языки пламени."
"circlet_of_seastar_description","localization/russian/ntc_artifacts_l_russian.yml","320","Красивый серебряный обруч, вдохновлённый знаменитым ожерельем Ширы Морской Звезды, дочери короля Эйгона IV Таргариена, прозванного Недостойным. Обруч украшен крупными чередующимися сапфирами и изумрудами, которые дополняли бы её необычные глаза. Ширу Морскую Звезду окружало множество слухов: главный из них гласил, что она занималась колдовством, помогая своему сводному брату и возлюбленному Кровавому Ворону, и купалась в крови, чтобы сохранить красоту."
"crown_of_robert_baratheon_description","localization/russian/ntc_artifacts_l_russian.yml","331","Большая и прочная золотая корона с яркими изображениями оленя и янтарными камнями. Эта корона была изготовлена для Роберта I Баратеона вскоре после того, как он взошёл на Железный трон, и преимущественно использовалась во время турниров и соревнований, которые часто посещал король."
"crown_of_robert_baratheon_name","localization/russian/ntc_artifacts_l_russian.yml","330","Турнирная корона Роберта I"
"daemon_ii_blackfyre_crown_description","localization/russian/ntc_artifacts_l_russian.yml","34","Реплика короны, которую носил неудачливый узурпатор Деймон II Блэкфайр: треугольный красный металлический обруч с изогнутым угрожающим драконом из чёрного железа спереди и расправленными крыльями по бокам.    История — Эйгор Риверс создал эту корону для Деймона II после смерти Деймона I Блэкфайра и провала Первого восстания Блэкфайра. Деймон II взял её с собой, когда отправился в Вестерос, чтобы начать безумие, известное как Второе восстание Блэкфайра. После неудачной попытки бросить вызов Кровавому Ворону и последующего ареста корона, по слухам, оказалась у лорда Амброза Баттервелла, который хранил её как сувенир."
"daemon_ii_blackfyre_crown_name","localization/russian/ntc_artifacts_l_russian.yml","33","Корона Деймона II Блэкфайра"
