"Key","File","Line","VisibleText"
"AEGON_CROWN_LOTD","localization/russian/lotd_clothing_l_russian.yml","23"," Корона Эйгона I"
"artifact_aegon_dagger_description","localization/russian/lotd_artifacts_l_russian.yml","20","Кинжал Эйгона — малоизвестный клинок из валирийской стали, принадлежавший Дому Таргариенов; его история уходит корнями в Старую Валирию. Эфес украшен золотом и драконьей костью.  Эйгон повелел последним уцелевшим валирийским пиромантам сокрыть в клинке пророчество.  :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:16 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;  «Из моей крови явится принц, что был обещан, и его песней станет Песнь Льда и Пламени»"
"artifact_aegons_crown_desc","localization/russian/lotd_artifacts_l_russian.yml","17","Корона Эйгона I — обруч из валирийской стали, украшенный квадратными рубинами. Это одна из немногих реликвий, переживших Рок Валирии."
"artifact_aegons_crown_name","localization/russian/lotd_artifacts_l_russian.yml","16","Корона Эйгона I"
"artifact_viserys_mask_desc","localization/russian/lotd_artifacts_l_russian.yml","38","Золотая маска, которую Визерис I носил в последние годы жизни. Она символизирует богатство Дома Таргариенов и напоминает об эпохе до Танца драконов..."
"artifact_viserys_mask_name","localization/russian/lotd_artifacts_l_russian.yml","36","Маска Визериса I Таргариена"
"buy_facemask.0001.a","localization/russian/buy_valyrian_mask_l_russian.yml","2","Соберите для меня всю оставшуюся ;COLOR:{0.50,0.50,0.50} валирийскую сталь"
"buy_facemask.0001.b","localization/russian/buy_valyrian_mask_l_russian.yml","3","Принесите мне маску из ;COLOR:{1.00,0.83,0.00} золота..."
"buy_facemask.0001.c","localization/russian/buy_valyrian_mask_l_russian.yml","4","Что-нибудь из ;COLOR:{0.42,0.32,0.11} бронзы сгодится..."
"buy_facemask.0001.d","localization/russian/buy_valyrian_mask_l_russian.yml","5","Маска из ;COLOR:{0.22,0.22,0.22} чернёной стали — вот что мне нужно!"
"buy_facemask.0001.e","localization/russian/buy_valyrian_mask_l_russian.yml","6","Простая ;COLOR:{0.75,0.75,0.75} серебряная маска подойдёт."
"jaehaerys_crown_description_lotd","localization/russian/lotd_artifacts_l_russian.yml","26","Корона Джейхейриса I Миротворца — золотой венец, по ободу которого размещены гербы каждого из Семи Королевств."
"PORTRAIT_MODIFIER_custom_headgear_male_viserys_crown_01","localization/russian/lotd_clothing_l_russian.yml","32"," Корона Визериса I"
"read_prophecy_0002_b_desc","localization/russian/read_prophecy_l_russian.yml","14","Ночью я нахожу миг, чтобы вновь обратиться к пророчеству.  Я тихо читаю его про себя.  :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;  «Из моей крови явится принц, что был обещан, и его песней станет Песнь Льда и Пламени»  Таинственные слова — и всё же они кажутся странно знакомыми.  Быть может, однажды я постигну их смысл..."
"read_prophecy_0002_desc","localization/russian/read_prophecy_l_russian.yml","10","Как  предвидела гибель Валирии, так  узрел конец мира людей. Началом станет лютая зима, налетевшая с далёкого Севера. С этими ветрами  увидел непроглядную тьму — и то, что таится в ней, погубит мир живых. Свой сон  назвал Песнью Льда и Пламени. С той поры эту тайну передают от короля к наследнику.  Я опускаю кинжал в пламя и смотрю, как в клинке загораются валирийские глифы.  :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;  «Из моей крови явится принц, что был обещан, и его песней станет Песнь Льда и Пламени»"
"read_prophecy_0003_aegon_desc","localization/russian/read_prophecy_l_russian.yml","49","Как  предвидела гибель Валирии, так я узрел конец мира людей. Началом станет лютая зима, налетевшая с далёкого Севера. С этими ветрами я увидел непроглядную тьму — и то, что таится в ней, погубит мир живых. Этот сон я назвал Песнью Льда и Пламени.  Я опускаю кинжал в пламя и смотрю, как в клинке загораются валирийские глифы, пока  наблюдает рядом.  :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;   начинает читать валирийский текст: «Из моей крови... явится принц, что был обещан... и его песней станет Песнь Льда и Пламени».   смотрит на меня.  «, эта тайна не должна умереть вместе со мной. Я передаю пророчество тебе. Теперь ты  поклясться нести его и оберегать»."
"read_prophecy_0003_desc","localization/russian/read_prophecy_l_russian.yml","46","Как  предвидела гибель Валирии, так  узрел конец мира людей. Началом станет лютая зима, налетевшая с далёкого Севера. С этими ветрами  увидел непроглядную тьму — и то, что таится в ней, погубит мир живых. Свой сон  назвал Песнью Льда и Пламени. С той поры эту тайну передают от короля к наследнику.  Я опускаю кинжал в пламя и смотрю, как в клинке загораются валирийские глифы, пока  наблюдает рядом.  :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;   начинает читать валирийский текст: «Из моей крови... явится принц, что был обещан... и его песней станет Песнь Льда и Пламени».   смотрит на меня.  «, эту тайну передавали от короля к наследнику со времён . Теперь ты  поклясться нести её и оберегать»."
"read_prophecy_0004_desc","localization/russian/read_prophecy_l_russian.yml","51","Кинжал из валирийской стали, некогда принадлежавший , всегда был окружён тайнами. Быть может, в нём скрыто нечто большее?  Я собираю все книги и записи времён , какие только могу найти... и наконец нахожу дневник с наброском кинжала рядом с валирийским глифом :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 J, означающим «огонь».  «Огонь?» — спрашиваю я себя. Я опускаю клинок в пламя, освещающее мои покои, и тот оживает множеством валирийских глифов.  :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;  «Из моей крови... явится принц, что был обещан... и его песней станет Песнь Льда и Пламени». Теперь записи дневника и слова на клинке сходятся воедино.  видел нечто тёмное и ужасное. И лишь наследник  способен уберечь мир людей."
"read_prophecy_0021_b_desc","localization/russian/read_prophecy_l_russian.yml","25","Когда я вглядываюсь в клинок, мой взгляд приковывает один-единственный глиф...  :{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:21 :C:  Валирийский знак :{0.5,0.0,0.0} крови. Туман и расплывчатые тени смыкаются вокруг меня. Вскоре рядом проступают смутно знакомые лица. Первым в тумане появляется . Затем я узнаю ,  и  — все они стоят вокруг и улыбаются.  Вскоре меня окружают все мои предки, а с ними и родичи, которых я пока не узнаю.  Их улыбки меркнут, как и мир вокруг. Предки бросаются друг на друга в жутком порыве вражды... а затем их ярость обращается на меня. Они смыкаются вокруг, холодные руки стискивают горло — и видение меркнет.  Я вновь прихожу в себя в своих покоях: , но потрясён."
"rule_extra_visual_replacement","localization/russian/lotd_decisions_l_russian.yml","24"," Legacy Of The Dragon — дополнительные облики"
"rule_hotd_visual_replacement","localization/russian/lotd_decisions_l_russian.yml","11"," Legacy Of The Dragon — облик артефактов"
"rule_rediscover_mechanic","localization/russian/lotd_decisions_l_russian.yml","31"," Legacy Of The Dragon — возвращение реликвий"
"setting_agot_visuals","localization/russian/lotd_decisions_l_russian.yml","14","Стандартный облик AGOT"
"setting_agot_visuals_desc","localization/russian/lotd_decisions_l_russian.yml","15","Канонические артефакты, такие как Чёрное Пламя, Тёмная Сестра, Корона Эйгона I и Корона Джейхейриса I, сохранят стандартный облик мода AGOT."
"setting_crown_only_visuals_desc","localization/russian/lotd_decisions_l_russian.yml","21","Канонические короны, такие как Корона Эйгона I и Корона Джейхейриса I, получат облик из сериала, а мечи сохранят книжный вид."
"setting_extra_visuals_desc","localization/russian/lotd_decisions_l_russian.yml","28","Морская Пена и Клешня Краба получат новые качественные 3D-модели."
"setting_hotd_visuals_desc","localization/russian/lotd_decisions_l_russian.yml","13","Канонические артефакты, такие как Чёрное Пламя, Тёмная Сестра, Корона Эйгона I и Корона Джейхейриса I, получат облик из сериала."
"valyrian_mask_01_tooltip","localization/russian/lotd_artifacts_l_russian.yml","50","Маска из ;COLOR:{1.00,0.84,0.00} золота подойдёт!"
"valyrian_mask_02_tooltip","localization/russian/lotd_artifacts_l_russian.yml","51",";COLOR:{0.36,0.38,0.21} Бронза станет достойным материалом."
"valyrian_mask_03_tooltip","localization/russian/lotd_artifacts_l_russian.yml","52","Мне нужна маска из ;COLOR:{0.10,0.10,0.10} чернёной стали. Она послужит мне верно."
"valyrian_mask_04_tooltip","localization/russian/lotd_artifacts_l_russian.yml","53","Пожалуй, ;COLOR:{0.30,0.30,0.30} валирийская сталь будет уместна..."
