"Key","File","Line","Text","Visible"
"bookmark_99_arrec_durrandon_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","8","Аррек Дюррандон, Король Штормовых земель и богатых Речных земель, завоеванных триста лет назад его предком Арланом III Дюррандоном, восседает на троне Штормовых Королей. Однако его правление непрочно, ибо другие короли в Вестеросе по-прежнему с завистью взирают на потенциальное богатство Речных земель. На Западе начинают шевелиться Железнорожденные, возможно, вынашивая планы отвоевать Речные земли у Штормового Короля","Аррек Дюррандон, Король Штормовых земель и богатых Речных земель, завоеванных триста лет назад его предком Арланом III Дюррандоном, восседает на троне Штормовых Королей. Однако его правление непрочно, ибо другие короли в Вестеросе по-прежнему с завистью взирают на потенциальное богатство Речных земель. На Западе начинают шевелиться Железнорожденные, возможно, вынашивая планы отвоевать Речные земли у Штормового Короля"
"bookmark_99_garland_gardener","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","18","Король Гарланд VI","Король Гарланд VI"
"bookmark_99_garland_gardener_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","20","Пока Гарланд не достиг совершеннолетия, Верховный стюард Простора из дома Тиреллов правил как регент. Ныне Гарланд VI правит одним из сильнейших королевств Вестероса. Умный, но циничный король; тайны честолюбивых планов Гарланда известны лишь ему самому, и лишь время покажет, сколь высоко вознесется дом Гарднеров.","Пока Гарланд не достиг совершеннолетия, Верховный стюард Простора из дома Тиреллов правил как регент. Ныне Гарланд VI правит одним из сильнейших королевств Вестероса. Умный, но циничный король; тайны честолюбивых планов Гарланда известны лишь ему самому, и лишь время покажет, сколь высоко вознесется дом Гарднеров."
"bookmark_99_tommen_lannister","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","24","Король Томмен II","Король Томмен II"
"bookmark_99_tommen_lannister_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","26","Томмен II, известный как «Львиный Король», из дома Ланнистеров восседает на троне Утёса. Услышав о возможном крахе Валирии в огненном Роке, он готовит экспедицию в земли бывшей Республики, чтобы разграбить богатства и магические артефакты, которые, как он уверен, до сих пор там.","Томмен II, известный как «Львиный Король», из дома Ланнистеров восседает на троне Утёса. Услышав о возможном крахе Валирии в огненном Роке, он готовит экспедицию в земли бывшей Республики, чтобы разграбить богатства и магические артефакты, которые, как он уверен, до сих пор там."
"bookmark_2bc_mern_gardener","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","41","Король Мерн IX","Король Мерн IX"
"bookmark_2bc_mern_gardener_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","43","<insert imagination>","<insert imagination>"
"bookmark_2bc_argilac_durrandon_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","47","<insert imagination>","<insert imagination>"
"bookmark_2bc_harren_hoare_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","51","<insert imagination>","<insert imagination>"
"bookmark_2bc_torrhen_stark_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","55","<insert imagination>","<insert imagination>"
"bookmark_129_rhaenyra_targaryen_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","60","Рейнира была объявлена наследницей своего отца, короля Визериса I Таргариена. Это решение было подтверждено королевской волей. Когда Визерис скончался в 129 году от З.Э., сир Отто Хайтауэр, Десница короля, и сир Кристон Коль, Лорд-командующий Королевской Гвардии, пренебрегли волей короля и вместо этого короновали её единокровного брата Эйгона II. «Зелёные» в Королевской Гавани позаботились о том, чтобы весть о смерти Визериса не достигла Рейниры, пока не состоялась коронация Эйгона II.\n\nКогда весть наконец достигла Рейниры, у неё начались преждевременные роды, и она родила мёртвую дочь Висенью. Рейнира возложила вину за эту трагедию на тех, кто украл её корону, и провела собственную, поспешную коронацию. Принц Деймон Таргариен, её супруг и дядя, водрузил на голову Рейниры корону её отца. Когда весть о её коронации достигла Королевской Гавани, ей предложили условия: Рейнира и её потомки могут остаться правителями Драконьего Камня, если она отречётся от своих притязаний на Железный Трон. Но она отказалась. Отвоюет ли Рейнира Таргариен то, что принадлежит ей по праву?","Рейнира была объявлена наследницей своего отца, короля Визериса I Таргариена. Это решение было подтверждено королевской волей. Когда Визерис скончался в 129 году от З.Э., сир Отто Хайтауэр, Десница короля, и сир Кристон Коль, Лорд-командующий Королевской Гвардии, пренебрегли волей короля и вместо этого короновали её единокровного брата Эйгона II. «Зелёные» в Королевской Гавани позаботились о том, чтобы весть о смерти Визериса не достигла Рейниры, пока не состоялась коронация Эйгона II.  Когда весть наконец достигла Рейниры, у неё начались преждевременные роды, и она родила мёртвую дочь Висенью. Рейнира возложила вину за эту трагедию на тех, кто украл её корону, и провела собственную, поспешную коронацию. Принц Деймон Таргариен, её супруг и дядя, водрузил на голову Рейниры корону её отца. Когда весть о её коронации достигла Королевской Гавани, ей предложили условия: Рейнира и её потомки могут остаться правителями Драконьего Камня, если она отречётся от своих притязаний на Железный Трон. Но она отказалась. Отвоюет ли Рейнира Таргариен то, что принадлежит ей по праву?"
"bookmark_129_aegon_targaryen_2","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","64","Король Эйгон II","Король Эйгон II"
"bookmark_195_daemon_blackfyre_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","73","Деймон I Блэкфайр, урождённый Дэймон Уотерс, бастард короля Эйгона IV Недостойного и его кузины принцессы Дейны. Деймон основал дом Блэкфайров, названный так в честь одноимённого меча из валирийской стали дома Таргариенов, подаренного ему Эйгоном IV. Он восстал против своего законорождённого брата Дейрона II Таргариена в борьбе за Железный Трон, начав первое из восстаний Блэкфайров. Одержит ли он победу или будет повержен?","Деймон I Блэкфайр, урождённый Дэймон Уотерс, бастард короля Эйгона IV Недостойного и его кузины принцессы Дейны. Деймон основал дом Блэкфайров, названный так в честь одноимённого меча из валирийской стали дома Таргариенов, подаренного ему Эйгоном IV. Он восстал против своего законорождённого брата Дейрона II Таргариена в борьбе за Железный Трон, начав первое из восстаний Блэкфайров. Одержит ли он победу или будет повержен?"
"bookmark_195_daeron_targaryen","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","75","Король Дейрон II","Король Дейрон II"
"bookmark_195_daeron_targaryen_desc","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","77","Дейрон II Таргариен, также известный как Дейрон Добрый, — двенадцатый король-Таргариен на Железном Троне. Дейрон мирно присоеденил Дорн к Семи Королевствам, объединив все земли Вестероса к югу от Стены. Теперь его  единокровный брат-бастард Деймон Блэкфайр оспаривает его право на трон, что ведёт к гражданской войне — Первому Восстанию Блэкфайра. Сумеет ли он отстоять свои права?","Дейрон II Таргариен, также известный как Дейрон Добрый, — двенадцатый король-Таргариен на Железном Троне. Дейрон мирно присоеденил Дорн к Семи Королевствам, объединив все земли Вестероса к югу от Стены. Теперь его  единокровный брат-бастард Деймон Блэкфайр оспаривает его право на трон, что ведёт к гражданской войне — Первому Восстанию Блэкфайра. Сумеет ли он отстоять свои права?"
"bookmark_300_euron_greyjoy","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","167","Железный Король Эурон III","Железный Король Эурон III"
"bookmark_129_aegon_targaryen","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","174","Король Эйгон II «Старший»","Король Эйгон II «Старший»"
"bookmark_153_aegon_targaryen","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","176","Король Эйгон III «Драконья Погибель»","Король Эйгон III «Драконья Погибель»"
"bookmark_178_aegon_targaryen","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","178","Король Эйгон IV «Недостойный»","Король Эйгон IV «Недостойный»"
