"Catalog","File","Line","Key","Problem","Text"
"EN","localization/english/lotd_decisions_l_english.yml","21","setting_crown_only_visuals_desc","Inner double quote: review","Canon crowns such as Aegon I's Crown, or Jaehaerys I's Crown will use show based visuals, while swords will retain their book appearances."""
"EN","localization/english/artifacts/lotd_artifacts_l_english.yml","20","artifact_aegon_dagger_description","Inner double quote: review","Aegon's Dagger is a lesser known Valyrian steel blade owned by House Targaryen whose origins go back to Old Valyria. The hilt is decorated with gold and dragonbone.\n\nAegon instructed the last surviving Valyrian pyromancers to hide a prophecy into the blade.\n\n #COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:16 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#! \n\n ""From my blood will come the prince that was promised, and his will be the song of ice and fire"""
"EN","localization/english/artifacts/lotd_artifacts_l_english.yml","26","jaehaerys_crown_description_lotd","Inner double quote: review","The Crown of Jaehaerys I, ""the Concilliator"", is a gold crown with the sigil of each of the seven kingdoms lining the crown"
"EN","localization/english/event_localization/buy_valyrian_mask_l_english.yml","12","buy_facemask_desc.0001.desc","Inner double quote: review","I summon my craftsman and order him to bring me an assortment of designs for my new mask. It is time to ditch this horrid mask I am currently using in favor of something more ornate.\n\n""My [ROOT.Char.GetLadyLord|U], what material best suites you?\"" He asks, presenting me with several options."
"EN","localization/english/event_localization/read_prophecy_l_english.yml","10","read_prophecy_0002_desc","Inner double quote: review","Just as [daenysTarg.GetFirstName] foresaw the end of Valyria, [aegonTarg.GetFirstName] foresaw the end of the world of men. It is to begin with a terrible winter. Gusting out of the distant north. [aegonTarg.GetFirstName] saw absolute darkness riding on those winds, and whatever dwells within will destroy the world of the living. [aegonTarg.GetFirstName] called his dream The Song of Ice and Fire. This secret has been passed from King to heir since.\n\nI lower the dagger into the flame and watch as Valyrian glyphs begin to glow within the blade.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#! \n\n""From my blood will come the prince that was promised, and his will be The Song of Ice and Fire"""
"EN","localization/english/event_localization/read_prophecy_l_english.yml","14","read_prophecy_0002_b_desc","Inner double quote: review","In the night I take the opportunity to once again gaze into the prophecy.\n\nI read it to myself softly.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#! \n\n""From my blood will come the prince that was promised, and his will be The Song of Ice and Fire""\n\nSuch mysterious words, yet they seem strangely familiar.\n\nPerhaps one day I will make sense of it..."
"EN","localization/english/event_localization/read_prophecy_l_english.yml","19","read_prophecy_0020_desc","Inner double quote: review","As I lower the blade into the flame I once again see the ancient Valyrian glyphs begin to glow...\n\nGlyphs turn to shapes, and my vision becomes unclear. I hear voices and see faces...The flame burns hotter and glyphs shine brighter...\n\nI begin to see dragons, men, women, and cities I've never known, one vision fades into another again and again, as I struggle to focus.\n\nMy mind can't bear it all and I begin to hear whispers and then shouting. My blood begins to boil and my vision fades into nothing but a blur of light. My skin feels like it is burning. All I can see and hear is the prohecy...""From my blood will come the prince that was promised...From my blood will come the prince that was promised"" "
"EN","localization/english/event_localization/read_prophecy_l_english.yml","47","read_prophecy_0003_desc","Inner double quote: review","Just as [daenysTarg.GetFirstName] foresaw the end of Valyria, [aegonTarg.GetFirstName] foresaw the end of the world of men. It is to begin with a terrible winter. Gusting out of the distant north. [aegonTarg.GetFirstName] saw absolute darkness riding on those winds, and whatever dwells within will destroy the world of the living. [aegonTarg.GetFirstName] called his dream The Song of Ice and Fire. This secret has been passed from King to heir since.\n\nI lower the dagger into the flame and watch as Valyrian glyphs begin to glow within the blade as [heir.GetFirstName] watches on.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#! \n\n[heir.GetFirstName] begins to read the Valyrian text ""From my blood... will come the prince that was promised... and his will be The Song of Ice and Fire""\n\n[heir.GetFirstName] looks back to me.\n\n""[heir.GetFirstName], this secret has been passed from King to heir since [aegonTarg.GetFirstNameNicknamedPossessive] time. Now you must promise to carry it, and protect it."""
"EN","localization/english/event_localization/read_prophecy_l_english.yml","50","read_prophecy_0003_aegon_desc","Inner double quote: review","Just as [daenysTarg.GetFirstName] foresaw the end of Valyria, I foresaw the end of the world of men. It is to begin with a terrible winter. Gusting out of the distant north. I saw absolute darkness riding on those winds, and whatever dwells within will destroy the world of the living. I call this dream 'The Song of Ice and Fire'.\n\nI lower the dagger into the flame and watch as Valyrian glyphs begin to glow within the blade as [heir.GetFirstName] watches on.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#! \n\n[heir.GetFirstName] begins to read the Valyrian text ""From my blood... will come the prince that was promised... and his will be The Song of Ice and Fire""\n\n[heir.GetFirstName] looks back to me.\n\n""[heir.GetFirstName], this secret must not die with me. I pass this prophecy on to you. Now you must promise to carry it, and protect it."""
"EN","localization/english/event_localization/read_prophecy_l_english.yml","52","read_prophecy_0004_desc","Inner double quote: review","There has always been much mystery surrounding the Valyrian steel dagger that once belonged to [aegonTarg.GetFullName]. Perhaps there is something more to this dagger?\n\nI muster all the books and records I have from [aegonTarg.GetFirstNameNicknamedPossessive] time...and I find nothing except a diary and a sketch of the dagger alongside the Valyrian glyph #COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 J #!which translates to 'Fire'.\n\n""Fire?"" I ask myself. I lower the blade into the flame that lights my room and it glows to life with numerous Valyrian glyphs.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:14 ;AB:CV:FLPG:HRP:TIDX:E:YN:WP:JPE:KQ:ZOU;#!\n\n""From my blood... will come the prince that was promised... and his will be The Song of Ice and Fire.""\nWith this knowledge I connect the contents of the diary to the words in the blade. [aegonTarg.GetFirstName] saw something... something dark and terrible, and only the heir of [aegonTarg.GetFirstName] can protect the world of men..."
