"Key","File","Line","Text","Visible","English"
"aegon_iii_crown_name","localization/replace/asoiaf_artifacts_l_russian.yml","11","Корона Эйгона III","Корона Эйгона III","Crown of Aegon III"
"aegon_iii_crown_description","localization/replace/asoiaf_artifacts_l_russian.yml","12","Корона Эйгона III — неброско элегантный тонкий обруч из простого золота, с едва заметной цветочной резьбой по окружности.","Корона Эйгона III — неброско элегантный тонкий обруч из простого золота, с едва заметной цветочной резьбой по окружности.","Aegon III's crown is an unassumingly elegant slender circlet of simple gold, with subtle, almost inperceptible floral carvings reaching around its circumference."
"aegon_iv_crown_name","localization/replace/asoiaf_artifacts_l_russian.yml","15","Корона Эйгона IV","Корона Эйгона IV","Crown of Aegon IV"
"aegon_iv_crown_description","localization/replace/asoiaf_artifacts_l_russian.yml","16","Корона Эйгона IV — крупнейшая из тех, что носили короли Таргариены; она выкована из красного золота и тяжело ложится на голову. Громоздкая и внушительная, она увенчана пиками в виде драконьих голов с мерцающими глазами-камнями.","Корона Эйгона IV — крупнейшая из тех, что носили короли Таргариены; она выкована из красного золота и тяжело ложится на голову. Громоздкая и внушительная, она увенчана пиками в виде драконьих голов с мерцающими глазами-камнями.","The crown of Aegon IV is the largest of those worn by Targaryen kings, wrought of red gold to sit heavily upon its wearer's head. Bulky and imposing, the crown's points are shaped into dragon heads with glittering gemstone eyes."
"death_aegonvi_murder_known","localization/replace/asoiaf_death_reasons_l_russian.yml","2","was «murdered»","was «murdered»","was ""murdered"""
"death_aegonvi_murder_known_killer","localization/replace/asoiaf_death_reasons_l_russian.yml","3","was «murdered» by [TARGET_CHARACTER.GetUIName]","was «murdered» by","was ""murdered"" by [TARGET_CHARACTER.GetUIName]"
"PORTRAIT_MODIFIER_custom_headgear_female_aegonIIIcrown","localization/replace/asoiaf_portrait_modifiers_l_russian.yml","17","Корона Эйгона III","Корона Эйгона III","Aegon III's Crown"
"PORTRAIT_MODIFIER_custom_headgear_female_aegonIVcrown","localization/replace/asoiaf_portrait_modifiers_l_russian.yml","18","Корона Эйгона IV","Корона Эйгона IV","Aegon IV's Crown"
"start_year_8282_09_15_desc","localization/replace/asoiaf_start_years_l_russian.yml","3","Год Ложной Весны миновал, и #italic зима близко#! — вместе с ней вспыхнет искра, что подожжёт Семь Королевств. Принц Рейгар Таргариен похитил Лианну Старк, невесту лорда Роберта Баратеона. Когда её отец и брат отправились на юг, требуя возмещения за похищение, король Эйерис II отказал им в справедливом суде и жестоко казнил обоих. Но когда Безумный Король потребовал головы молодых лордов Эддарда Старка и Роберта Баратеона, лорд Джон Аррен из Долины поднял свои знамёна на мятеж.\n\n#bold Пока война расползается по Вестеросу, словно лесной пожар, именно вам решать судьбу королевства. Ведь когда играешь в игру престолов — побеждаешь или погибаешь.#!","Год Ложной Весны миновал, и  зима близко — вместе с ней вспыхнет искра, что подожжёт Семь Королевств. Принц Рейгар Таргариен похитил Лианну Старк, невесту лорда Роберта Баратеона. Когда её отец и брат отправились на юг, требуя возмещения за похищение, король Эйерис II отказал им в справедливом суде и жестоко казнил обоих. Но когда Безумный Король потребовал головы молодых лордов Эддарда Старка и Роберта Баратеона, лорд Джон Аррен из Долины поднял свои знамёна на мятеж.   Пока война расползается по Вестеросу, словно лесной пожар, именно вам решать судьбу королевства. Ведь когда играешь в игру престолов — побеждаешь или погибаешь.","The Year of the False Spring has passed and #italic winter is coming#!, and along with it a spark that will ignite the Seven Kingdoms. Prince Rhaegar Targaryen has kidnapped Lyanna Stark, the betrothed of Lord Robert Baratheon. When her father and brother rode south demanding redress for her abduction, the King Aerys II denied them a fair hearing, brutally executing them both. But when the Mad King called for the heads of the young Lords Eddard Stark and Robert Baratheon, Lord Jon Arryn of the Vale instead raised his banners in rebellion.\n\n#bold As fighting spreads across Westeros like wildfire, it is up to you to decide the fate of the kingdom. For when you play the game of thrones, you win or you die.#!"
"agot_bm_8282_desc","localization/replace/bookmarks/asoiaf_bm_group_8282_l_russian.yml","4","Год Ложной Весны миновал, и #italic зима близко#! — вместе с ней вспыхнет искра, что подожжёт Семь Королевств. Принц Рейгар Таргариен похитил Лианну Старк, невесту лорда Роберта Баратеона. Когда её отец и брат отправились на юг, требуя возмещения за похищение, король Эйерис II отказал им в справедливом суде и жестоко казнил обоих. Но когда Безумный Король потребовал головы молодых лордов Эддарда Старка и Роберта Баратеона, лорд Джон Аррен из Долины поднял свои знамёна на мятеж.\n\n#bold Пока война расползается по Вестеросу, словно лесной пожар, именно вам решать судьбу королевства. Ведь когда играешь в игру престолов — побеждаешь или погибаешь.#!","Год Ложной Весны миновал, и  зима близко — вместе с ней вспыхнет искра, что подожжёт Семь Королевств. Принц Рейгар Таргариен похитил Лианну Старк, невесту лорда Роберта Баратеона. Когда её отец и брат отправились на юг, требуя возмещения за похищение, король Эйерис II отказал им в справедливом суде и жестоко казнил обоих. Но когда Безумный Король потребовал головы молодых лордов Эддарда Старка и Роберта Баратеона, лорд Джон Аррен из Долины поднял свои знамёна на мятеж.   Пока война расползается по Вестеросу, словно лесной пожар, именно вам решать судьбу королевства. Ведь когда играешь в игру престолов — побеждаешь или погибаешь.","The Year of the False Spring has passed and #italic winter is coming#!, and along with it a spark that will ignite the Seven Kingdoms. Prince Rhaegar Targaryen has kidnapped Lyanna Stark, the betrothed of Lord Robert Baratheon. When her father and brother rode south demanding redress for her abduction, the King Aerys II denied them a fair hearing, brutally executing them both. But when the Mad King called for the heads of the young Lords Eddard Stark and Robert Baratheon, Lord Jon Arryn of the Vale instead raised his banners in rebellion.\n\n#bold As fighting spreads across Westeros like wildfire, it is up to you to decide the fate of the kingdom. For when you play the game of thrones, you win or you die.#!"
