"Catalog","File","Line","Key","Problem","Text"
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","11","ntc_find_lost_crown_event.1.desc","Inner double quote: review","As we move through the treacherous terrain of the Mountains of the Vale, I cannot help but smile as I breathe in the beauty of the countryside. \n\nYet the quiet hamony is interrupted as I see we have been surrounded by group of wild Moon Clansmen! Yet my eyes are drawn to their leader [clansman_bandit.GetWomanMan], as he steps out in front of our caravan wearing upon their head the fabled lost crown of the ancient King Roland Arryn of the Vale!\n\n""Look what the wind blew in, lads! Ain't this a sight? One of them Andal invaders, the scum who snatched our people's lands right from under us!"""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","12","ntc_find_lost_crown_event.1.a","Inner double quote: review","""My friends, must there be violence between us? Let us merely pass through in peace."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","17","ntc_find_lost_crown_event.1.b","Inner double quote: review","""That crown doesn't belong to you. Give it here and no harm will come to you."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","22","ntc_find_lost_crown_event.1.c","Inner double quote: review","""That crown does not belong to you! Men to battle!!"""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","25","ntc_find_lost_crown_event.2.desc","Inner double quote: review","I know these vile animals will never accept peace, therefore I shall not dare give it to them. I order my men into action, demanding they prepare for battle immidiately! \n\nDespite the thread of battle, the enemy leader [clansman_bandit.GetWomanMan] merely grins at me and declares, ""Well, well, look at the brave Andal here. Ain't that a treat? Your courage is gonna make our triumph all the more satisfying."" Behind them the clansmen army gives an unholy scream of bloodlust and fury, hungering for battle. \n\nI merely raised my sword, ""I will take that crown, even if I must take it from your corpse."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","26","ntc_find_lost_crown_event.2.a","Inner double quote: review","""Follow me men! I will lead is in battle!"""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","38","ntc_find_lost_crown_event.2.b","Inner double quote: review","""Fight for me men! Show them no Quarter!"""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","46","ntc_find_lost_crown_event.3.a","Inner double quote: review","""At last! King Roland Arryn has been avenged and his crown returned to rightful Andal hands."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","50","ntc_find_lost_crown_event.4.a","Inner double quote: review","""I will not rest until the lost crown is eventually returned!"""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","51","ntc_find_lost_crown_event.4.b","Inner double quote: review","""Perhaps some things are better left lost."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","55","ntc_find_lost_crown_event.5.desc","Inner double quote: review","My attempts to bring things to a peaceful end it would seem have ended in failure, for despite my attempts at diplomacy the enemy leader [clansman_bandit.GetWomanMan] decides to spit in my direction and spats out, ""You think we'd let you pass in peace Andal scum?"" \n\nEncouraged by the chance of battle, the mountain clansmen behind the foul leader let out a yell of fury and bloodlust, seemingly ready and willing to spear us all through. As they yell I feel a shiver of dread for I know now that any chance for a peaceful end to this encounter has past. \n\nThus I reluctantly step back as my men ready their swords, knowing now deep in my heart that both our fate and the future of the Crown of Roland Arryn shall be decided in blood."
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","56","ntc_find_lost_crown_event.5.a","Inner double quote: review","""They have given us no choice but to fight! Let us make them regret it."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","68","ntc_find_lost_crown_event.5.b","Inner double quote: review","""Attack! Let them wish they had sought peace!"""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","76","ntc_find_lost_crown_event.6.a","Inner double quote: review","""Honestly men, it's just an old crown."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","78","ntc_find_lost_crown_event.6.b","Inner double quote: review","""At least we know it still exists."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","82","ntc_find_lost_crown_event.7.desc","Inner double quote: review","As my men raise their weapons, the enemy leader [clansman_bandit.GetWomanMan] seems to grow cold feet, as they proceed to eye us warily. Realizing that victory will not be so easy for the clansmen, [clansman_bandit.GetWomanMan] retrieves the Lost Crown of Roland Arryn from their head and presents it to us, a grimace on their face. \n\n""It seems you win today Andal devil. Here be your bloody crown."" \n\nGrinning as I feel the crown in my hands at it is passed to me, I raise it in the air as my men give a cry of victory."
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","83","ntc_find_lost_crown_event.7.a","Inner double quote: review","""I'm glad they saw sense."""
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","87","ntc_find_lost_crown_event.8.desc","Inner double quote: review","As the chaos of battle rages around me, I realize to my horror that my men are losing! \n\nSuddenly a sharp pain emerges from my side as the blade of a axe has now lodged itself there. Coughing up blood, I look to see the clansman leader [clansman_bandit.GetWomanMan] giving me a bloodcurdling grin as they tell me, ""You die today Andal dog!"" \n\nAs my vision begins to blacken and the Stranger prepares to take me into his embrace, I see the last of my men retreat while the clansmen leader, the lost crown of Roland Arryn upon their head, raises their axe for one final swing."
"EN","localization/replace/english/ntc_find_lost_crowns_events_l_english.yml","88","ntc_find_lost_crown_event.8.a","Inner double quote: review","""How could it have ended this way?!"""
