"Key","MainFile","MainLine","TranslationFile","TranslationLine","English","Russian","BuiltinRussian"
"agot_tradition_stepstones_desc","localization/replace/english/zz_agot_unique_buildings_l_english.yml","177","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","177","The pirates of the Stepstones are a fearsome sight for any trade vessal crossing the Narrow Sea.","Пираты Ступеней — страшное зрелище для любого торгового судна, пересекающего Узкое море.",
"agot_tradition_stepstones_name","localization/replace/english/zz_agot_unique_buildings_l_english.yml","176","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","176","Stepstone Pirates","Пираты Ступеней",
"agotcities_ruins.1000.a","localization/replace/english/zz_agot_unique_buildings_l_english.yml","195","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","195","Castamere shall stand forever","Кастамере будет стоять вечно",
"agotcities_ruins.1000.d","localization/replace/english/zz_agot_unique_buildings_l_english.yml","196","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","196","Rubble after rubble, brick after brick, before you stands that which had been left to crumble into obscurity and dust, now completely revitalized. With the help of Maesters and masons, the ruins have been rebuilt as similar to its original design as possible.\n\n[completed_ruin_castamere.GetName] stands strong once more. The mines have already begun yielding wealth, and the towering double walls keep us safe within.\n\nLearning from history, we have filled in the old vents by the river and mined new vents high in the mountains.","Камень за камнем, кирпич за кирпичом — и вот перед вами полностью возрождённое сооружение, прежде обречённое рассыпаться в забвении и прахе. С помощью мейстеров и каменщиков руины восстановили, стараясь как можно точнее воспроизвести первоначальный облик.\n\n[completed_ruin_castamere.GetName] вновь стоит нерушимо. Шахты уже приносят богатство, а высокие двойные стены хранят нас от опасности.\n\nУсвоив уроки прошлого, мы замуровали старые речные штольни и прорубили новые высоко в горах.",
"agotcities_ruins.1000.t","localization/replace/english/zz_agot_unique_buildings_l_english.yml","194","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","194","[completed_ruin_castamere.GetName] Restored","[completed_ruin_castamere.GetName]: восстановление завершено",
"building_24castamere_01","localization/replace/english/zz_agot_unique_buildings_l_english.yml","82","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","82","The New Castle","Новый замок",
"building_24castamere_01_desc","localization/replace/english/zz_agot_unique_buildings_l_english.yml","83","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","83","With the ruins restored, the New Castle stands as an enduring testament to the beauty and power that was House Reyne through the ages.\n\nBuilt as an exact replica of the old fortress, this humble, but formidable keep with its double-layered curtain walls once again protects the wealth and majesty below the surface.","После восстановления руин Новый замок стал вечным свидетельством красоты и могущества, которыми дом Рейн славился на протяжении веков.\n\nЭта скромная, но грозная крепость, в точности повторяющая прежнюю и окружённая двойным кольцом стен, вновь защищает богатства и величие, скрытые под землёй.",
"building_24castamere_02","localization/replace/english/zz_agot_unique_buildings_l_english.yml","85","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","85","Lion's Port","Львиная гавань",
"building_24castamere_02_desc","localization/replace/english/zz_agot_unique_buildings_l_english.yml","86","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","86","The Gold and Silver flows. Trade booms. Castamere stands as one of the great cities of the western coast along Lannisport, Old Town, and The Arbor.\n\nWith the establshment of Lion's Port, we now have a port and docks that match those of the other greta powers, our culture wills spread across the globe as our wealth continues to grow.","Золото и серебро текут рекой, торговля процветает. Кастамере встаёт в один ряд с великими городами западного побережья — Ланниспортом, Староместом и Арбором.\n\nС основанием Львиной гавани у нас появились порт и причалы, способные соперничать с владениями других великих держав. Наше богатство растёт, а вместе с ним по свету распространяется и наша культура.",
"building_24castamere_03","localization/replace/english/zz_agot_unique_buildings_l_english.yml","88","localization/replace/russian/zz_agot_unique_buildings_l_russian.yml","88","The Shining City","Сияющий город",
