"Key","Kind","File","Line","EnglishTokens","RussianTokens"
"death_missing_valyria","Expressions","localization/russian/valyrian_death_reasons_l_russian.yml","3","","[Select_CString(CHARACTER.IsFemale, 'пропала без вести', 'пропал без вести' )]"
"fund_expedition_0001.a","Expressions","localization/russian/valyrian_decisions_l_russian.yml","30","[optionOne.GetFirstName] || [optionOne.GetSheHe]","[optionOne.GetFirstName] || [optionOne.GetSheHe|U]"
"fund_expedition_0002_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","40","[choice.GetFirstName] || [choice.GetHerHis] || [choice.GetHerHis] || [choice.GetSheHe] || [choice.GetSheHe] || [choice.GetSheHe|U] || [ROOT.Char.GetTitledFirstName]","[choice.GetFirstName] || [choice.GetSheHe] || [choice.GetSheHe|U] || [choice.GetSheHe|U] || [ROOT.Char.GetTitledFirstName] || [Select_CString(choice.IsFemale, 'собрала', 'собрал' )]"
"fund_expedition_00021_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","144","[choice.GetFirstName] || [choice.GetFirstName] || [choice.GetHerHis]","[choice.GetFirstName] || [choice.GetFirstName]"
"fund_expedition_0004_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","43","[choice.GetFirstName] || [choice.GetHerHis]","[choice.GetFirstName] || [choice.GetFirstNamePossessive]"
"fund_expedition_0005.a","Expressions","localization/russian/valyrian_decisions_l_russian.yml","50","[choice.GetHerHis]","[choice.GetFirstName] || [Select_CString(choice.IsFemale, 'оправилась', 'оправился' )]"
"fund_expedition_0005_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","49","[choice.GetFirstName] || [choice.GetFirstNamePossessive] || [choice.GetHerHim] || [choice.GetHerHis] || [choice.GetHerHis]","[choice.GetFirstName] || [choice.GetFirstName] || [choice.GetFirstNamePossessive] || [choice.GetHerHim]"
"fund_expedition_0006_alt_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","55","[choice.GetFirstName] || [choice.GetSheHe|U] || [choice.GetSheHe|U] || [newly_created_artifact.GetName] || [ROOT.Char.GetLadyLord]","[choice.GetFirstName] || [choice.GetSheHe] || [choice.GetSheHe|U] || [newly_created_artifact.GetName] || [ROOT.Char.GetLadyLord]"
"fund_expedition_0006_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","54","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"fund_expedition_0007.a","Expressions","localization/russian/valyrian_decisions_l_russian.yml","78","[choice.GetFirstName]","[choice.GetFirstName] || [Select_CString(choice.IsFemale, 'принесла', 'принёс' )]"
