"Catalog","File","Line","Key","Problem","Text"
"EN","localization/replace/english/mde_demand_egg_events_l_english.yml","62","mde_start_demand_egg_event_chain","Unclosed formatting tag","@warning_icon!#X This will issue a demand to [recipient.GetFullName] to forfeit the egg!#"
"EN","localization/replace/english/more_dragon_eggs_events_l_english.yml","120","agot_ninepenny.0035.b.tt","Unclosed formatting tag","#italic The Kingdom of Tarth will be rebranded as The Sapphire Islands!"
"EN","localization/replace/english/more_dragon_eggs_events_l_english.yml","125","a_crown_for_a_king_decision_tooltip","Unclosed formatting tag","@warning_icon!#X This will remove Viserys as head of the Targaryen Exiles!#"
"EN","localization/replace/english/more_dragon_eggs_events_l_english.yml","158","agot_dragon_hatching.0403.opt.e.tt","Unclosed formatting tag","All unbonded dragons will be left unpitted.\n#X These dragons can become wild upon your death!#"
"EN","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","191","setting_spawn_dragonstone_eggs_disabled_desc","Missing closing quote; declared key retained"," setting_spawn_dragonstone_eggs_disabled_desc:0 ""The Dragonlore event in Dragonstone will remain but it will never spawn a dragon egg by visiting, A Day On Dragonstone and Adventurer Inspirations to Dragonstone will remain unchanged."
"EN","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","192","setting_spawn_dragonstone_eggs_disabled_ai_blocked_desc","Missing closing quote; declared key retained"," setting_spawn_dragonstone_eggs_disabled_ai_blocked_desc:0 ""The Dragonlore event in Dragonstone is blocked for AI to prevent egg overabundance. A Day On Dragonstone and Adventurer Inspirations to Dragonstone will remain unchanged."
"EN","localization/replace/english/more_dragon_eggs_ui_l_english.yml","14","NO_DRAGONS_TOOLTIP","Unclosed formatting tag","@warning_icon! #X There are no living dragons!#"
"EN","localization/replace/english/more_dragon_eggs_ui_l_english.yml","15","NO_EGG_TOOLTIP","Unclosed formatting tag","@warning_icon! #X There are no eggs known in the world!#"
"EN","localization/replace/english/more_dragon_eggs_ui_l_english.yml","16","NO_DRAGONPITS_TOOLTIP","Unclosed formatting tag","@warning_icon! #X You have no access to any active dragonpits!#"
"EN","localization/replace/english/more_dragon_eggs_ui_l_english.yml","17","NO_KINGSGUARD_TOOLTIP","Unclosed formatting tag","@warning_icon! #X The Kingsguard does not exist!#"
"EN","localization/replace/english/more_dragon_eggs_ui_l_english.yml","18","NO_VALYRIAN_STEEL_TOOLTIP","Unclosed formatting tag","@warning_icon! #X There is no Valyrian Steel known in the world!#"
"EN","localization/replace/english/more_dragon_eggs_ui_l_english.yml","29","INVITE_TO_KINGSGUARD_TT","Unclosed formatting tag","@icon_kingsguard!#clickable $invite_to_kingsguard_interaction$"
"Translation","localization/russian/more_dragon_eggs_ui_l_russian.yml","23","INVITE_TO_KINGSGUARD_TT","Unclosed formatting tag","@icon_kingsguard!#clickable $invite_to_kingsguard_interaction$"
"BuiltinRussian","localization/replace/russian/mde_demand_egg_events_l_russian.yml","48","mde_demand_egg_events.0006.a.tt","Inner double quote: review","@warning_icon!#X Мы не можем воевать с [egg_victim.GetFullName]!#!"" ""@warning_icon!#X Мы не можем воевать с [egg_victim.GetFullName]!#!"
"BuiltinRussian","localization/replace/russian/mde_demand_egg_events_l_russian.yml","62","mde_start_demand_egg_event_chain","Unclosed formatting tag","@warning_icon!#X Это выдвинет требование к [recipient.GetFullName] о передаче яйца!#"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","117","agot_ninepenny.0035.b.tt","Unclosed formatting tag","#italic Королевство Тарт будет переименовано в Сапфировые Острова!"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","122","a_crown_for_a_king_decision_tooltip","Unclosed formatting tag","@warning_icon!#X Это сместит Визериса как главу Таргариенов в изгнании!#"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","73","setting_spawn_sheepstealer_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_sheepstealer_egg_disabled_desc:0 ""The Dragonlore event in the Vale will remain but it will never spawn a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","80","setting_spawn_vhagar_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_vhagar_egg_disabled_desc:0 ""The Dragonlore event in Harrenhal will remain but it will never spawn a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","87","setting_spawn_moondancer_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_moondancer_egg_disabled_desc:0 ""The Dragonlore event in the Vale will remain but it will never spawn a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","94","setting_spawn_nagga_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_nagga_egg_disabled_desc:0 ""The Dragonlore event in the Vale will remain but it will never spawn a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","101","setting_spawn_meraxes_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_meraxes_egg_disabled_desc:0 ""The Dragonlore event in the Vale will remain but it will never spawn a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","108","setting_spawn_pythax_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_pythax_egg_disabled_desc:0 ""The Dragonlore event in the Vale will remain but it will never spawn a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","115","setting_spawn_vassarion_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_vassarion_egg_disabled_desc:0 ""The Dragonlore event in the Vale will remain but it will never spawn a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","122","setting_spawn_hightower_egg_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_hightower_egg_disabled_desc:0 ""The Hightowers will not start with a dragon egg. "
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","129","setting_spawn_dragonstone_eggs_disabled_desc","Missing closing quote; declared key retained","  setting_spawn_dragonstone_eggs_disabled_desc:0 ""The Dragonlore event in Dragonstone will remain but it will never spawn a dragon egg by visiting, A Day On Dragonstone event will remain unchanged. Adventurer Inspirations to Dragonstone will remain unchanged. "
